batch_index,benchmark_seed_index,source_panel_row,query_position,target_index,target_hash,seed_canonical_smiles,seed_heavy_atoms,sampling_seed,raw_proposals,token_decodable_proposals,token_decodable_fraction,rdkit_valid_proposals,rdkit_valid_fraction,rdkit_unique_valid_molecules,rdkit_unique_fraction_of_raw,rdkit_unique_fraction_of_valid,release_policy_accepted_proposals,release_policy_accepted_fraction,release_policy_unique_molecules,release_policy_unique_fraction_of_raw
43,86,2453,2453,40,98a9c0332e9c25bc16a9ac48443a0ee99eab67116a50a1d9ba7124f36a99a6cf,COc1ccc(N(C)c2ccc(C#N)nc2)cc1,18,6766662034414046839,1000,1000,1.0,992,0.992,4,0.004,0.004032258064516129,992,0.992,4,0.004
43,87,593,593,8080,ce369233b979ff7ee2461c8197edf1f30fc1a57ee90f05da31dc748b408dd95b,N#Cc1c(Br)cccc1N1C2CCC1CC(N)C2,18,7266533435289147395,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
44,88,9647,9647,35028,d5c7121e1f2318f0836c7f6d9a2c47db2b7f7c9caaff51fb2f9f37637b68200b,CCOC(=O)c1cc2ccccc2cc1NC(=O)CN(C)c1ncnc2[nH]cnc12,30,684735923596548149,1000,1000,1.0,844,0.844,116,0.116,0.13744075829383887,844,0.844,116,0.116
44,89,2707,2707,16165,db9f316d0a0f9dc874db50a4884219a8874fb251e1e3a29af08b64f85c119bfe,CC1CC(COC(=O)C(F)c2ccccc2)CCO1,19,434950574756051158,1000,1000,1.0,1000,1.0,4,0.004,0.004,1000,1.0,4,0.004
45,90,932,932,28318,9a410c4818dbee6e9d7ebb4d037d8ac2362a776055ba0dd4606d31d2cd07361d,COCCC1(C(=O)N2CCCC(C3CCC[NH+]3CCO)C2)CC1,23,419088688782851555,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
45,91,2906,2906,28063,972bafcdb0bd678f21d3a7b695ec9ced85c23d3933150059303a6e3a31f66a32,Cc1ccc(OCC2CCCN(C(=O)OC(C)(C)C)C2)c(NC(=O)Nc2cnc(C)cn2)c1,33,207005316273540358,1000,1000,1.0,966,0.966,45,0.045,0.046583850931677016,966,0.966,45,0.045
46,92,276,276,29877,53e87a9a9f54ccb852b523a996731c4d022f00f66b97b80437c61a3b5f25a438,CC(NC(=O)C1CCCN1c1ncccn1)C1CC[NH+](C(C)C)CC1,25,4601841430340135559,1000,1000,1.0,998,0.998,19,0.019,0.01903807615230461,998,0.998,19,0.019
46,93,6398,6398,17511,eec4e6b3550d31f0cf3c1cf36021c2e3ac090fbaac65d3fe4d6a331b8fcde184,CC(CCNCCc1cccs1)N1CCNCC1,18,5555443775865795788,1000,1000,1.0,993,0.993,10,0.01,0.010070493454179255,993,0.993,10,0.01
47,94,6330,6330,15677,7cec0f1a8d1d27d29cad04a6dff4147b48b69b794d9517bb2ea6853c5059bafc,CC1CCN(C(=O)c2ccn(-c3ccccc3[N+](=O)[O-])n2)CC1CO,25,4459814680881854041,1000,1000,1.0,964,0.964,13,0.013,0.013485477178423237,964,0.964,13,0.013
47,95,4706,4706,25369,688585ead5a5b0ef185dc77993ca3fd8a9b201aac92d24a89a8fea9afd0678d2,Cc1noc(C)c1CCC(=O)NC1CCC(Oc2ccc(C(F)(F)F)cn2)CC1,29,4674499379570182741,1000,1000,1.0,997,0.997,7,0.007,0.007021063189568706,997,0.997,7,0.007
48,96,4204,4204,23136,8be7298006d3137848840bc61f90a4d7542297094e7962f46746d85c3e488242,Cc1nn(C)c(Cl)c1C[NH2+]C1CC1(C)C,15,7441768392142817782,1000,1000,1.0,1000,1.0,3,0.003,0.003,1000,1.0,3,0.003
48,97,384,384,7641,237aa92555e4f76d0f3b7154bb928f8063b2f524927b64474a36b430dde1ee32,O=C(NC1CCC[NH2+]CC1)NC1CC[NH+](Cc2ccc(F)cc2)CC1,25,2852378382595957096,1000,1000,1.0,1000,1.0,6,0.006,0.006,1000,1.0,6,0.006
49,98,2571,2571,21770,23cde49af991234b7017310b6b28e9bd5614a4c9ef1674d48c5fac6bd13b3cd9,COc1ccc(C(CNC(=O)C2c3ccccc3CN(C)C2C)N(C)C)cc1,28,8371575650620763183,1000,1000,1.0,998,0.998,10,0.01,0.01002004008016032,998,0.998,10,0.01
49,99,6220,6220,49245,d81ea758daae5faa5dd0dcaaa978f424f78197dc2b06dfcfaa642b07e11d1b66,CC(NC(=O)c1cccn1C)C1CCN(C(=O)C2(C(F)F)CC2)C1,24,6361198615042254700,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
