batch_index,first_benchmark_seed_index,raw_proposals_per_second,valid_unique_molecules_per_second,generation_seconds,token_decode_seconds,rdkit_validation_seconds
0,0,874.2007268029462,270.21450227908014,2.2878040919895284,0.0247050010366365,0.3557414779788814
1,2,1600.8699037494623,3.959718310796205,1.2493207569932565,0.0169583590468391,0.2489801850169897
2,4,1973.1628308434197,11.872765255240257,1.0136010919813998,0.014681500964798,0.2351130589959211
3,6,2120.7215909034608,33.93461261818287,0.9430752290063538,0.0141813880181871,0.2214808699791319
4,8,1291.4135659670872,119.98732314001668,1.5486905610305255,0.0175751710194163,0.300598151050508
5,10,2956.0763559221828,22.7408386693982,0.6765725100412965,0.012408739014063,0.1904937910148874
6,12,876.3648169359225,251.31352577979916,2.282154601998627,0.0183228919631801,0.2182886489899829
7,14,2213.472071960689,449.5345406131688,0.903557820012793,0.014144686050713,0.2946626199991442
8,16,2127.4910591094144,5.812993436824249,0.9400744559825398,0.0160908990073949,0.2480334930005483
9,18,1378.0327602028476,45.14215902451477,1.4513443059986455,0.01548390800599,0.1724376429920084
10,20,2227.742394598061,4.277867610654861,0.8977698700036854,0.0146281580091454,0.2564085960038937
11,22,2307.786467130444,42.80669572504201,0.8666313060093671,0.0140480800182558,0.2172796879895031
12,24,854.142939845426,231.42791139421385,2.341528457007371,0.0337130749830976,0.3513094540103338
13,26,1505.7531413571935,235.2898559704517,1.328238968970254,0.0150736809591762,0.2122155239921994
14,28,1848.19728132456,19.21100183459188,1.082135559991002,0.0164497990044765,0.254805798002053
15,30,1560.8969222596147,58.8374648458026,1.2813145900145173,0.0254964000196196,0.2738145560142584
16,32,2139.5572677660816,94.02850337163784,0.9347728290013038,0.0141836279653944,0.1996314299758523
17,34,2132.3589055798197,75.75026815097307,0.937928411003668,0.0151871489943005,0.2349990460206754
18,36,1464.9680222816678,38.49626980691667,1.365217512997333,0.0166210889583453,0.2546835939865559
19,38,1915.632487877145,9.360796081440885,1.044041596003808,0.0151073749875649,0.2227932800306007
20,40,2139.965006138884,22.66099929932024,0.9345947219990194,0.0151099030044861,0.2417697510099969
21,42,1256.9993202528697,199.5375933948345,1.5910907569923438,0.0255646560108289,0.2576781079987995
22,44,1791.5981259778655,6.005273182797013,1.1163217749563046,0.0200630009640008,0.1957777679781429
23,46,2130.922159069942,48.9164659932946,0.938560797017999,0.0229000649997033,0.2242339510121382
24,48,2133.307781393079,20.78908155367006,0.9375112290144898,0.0146087039611302,0.2023322220193222
25,50,1899.4469717147376,35.93429775470031,1.0529380550142378,0.0189867130247876,0.2638464310439303
26,52,2581.454708820565,36.58192073995891,0.7747569589992054,0.0137195150018669,0.2229521019617095
27,54,1512.6847183206958,96.1016271627155,1.3221525779808871,0.0287156630074605,0.3140359310200438
28,56,2118.033968631812,16.459048888843704,0.9442719189682977,0.0154798120493069,0.1946284599835053
29,58,1973.945103067149,22.15626280948849,1.0131994030089118,0.0143071449710987,0.1911105189938098
30,60,1966.453524112696,131.75183795596894,1.0170593789662234,0.0139063899987377,0.1910285690100863
31,62,2372.7249796979963,2.770469195410304,0.8429126919945702,0.0207193639944307,0.219217017001938
32,64,2594.6523165334256,26.0772814462958,0.7708161849877797,0.0152887470321729,0.2492790690157562
33,66,1414.9831433557736,517.6949053874921,1.4134443999500943,0.0299803600064478,0.2622130410163663
34,68,1782.6196564464767,32.54982807380126,1.121944320970215,0.0158715129946358,0.2139578190399333
35,70,1333.847236236729,39.63550747891336,1.4994220819789916,0.0165697630145587,0.2501013490254991
36,72,2057.424069839991,13.77071451164364,0.9720893370104022,0.0161943520070053,0.2462201550370082
37,74,2397.6038969731853,6.745694897885968,0.8341661450103857,0.0129346420289948,0.1905980869778432
38,76,1462.4290008887897,177.03082143813913,1.3675877589848824,0.017467720026616,0.3039159530308097
39,78,2840.129906834963,37.62115477208358,0.7041931410203688,0.0134944660239852,0.23922081902856
40,80,2717.913110508944,4.151650833321858,0.7358586969785392,0.0110106069478206,0.2166028570500202
41,82,1612.1882332977711,22.17298671363862,1.240549930022098,0.024456306011416,0.2683911559870466
42,84,2342.0635916228343,113.35144848286193,0.853947777999565,0.0223071560030803,0.2265099770156666
43,86,3498.369674876,7.640840577386495,0.5716948710032739,0.0117006339714862,0.2018584129982628
44,88,1373.060911112835,69.2236242483954,1.456599619006738,0.0150220670038834,0.2618905549752526
45,90,1192.7174115589878,23.78524215014177,1.6768431320087984,0.0231595130171626,0.2760125539498403
46,92,1912.091580114321,22.28382437823193,1.0459750049631111,0.0226699920021928,0.2327474170015193
47,94,1558.1014782532316,12.52402870269612,1.2836134410463274,0.0297808150062337,0.2835359710152261
48,96,1905.0515487490784,7.116863330449555,1.049840358027723,0.0147929230006411,0.1999687749776058
49,98,1845.691627073479,8.172022730822695,1.083604633982759,0.0168584909988567,0.2455928470008075
