query_position,target_index,target_hash,seed_canonical_smiles,seed_scaffold,seed_heavy_atoms
69,241582,a40094608be7ff07bcfc0429f3ea93d22c256dcaa6155c62da0ef8045e8f1a72,CCC(C)C1NC(=O)N(CCCC[NH+](C)C2CC2)C1=O,O=C1CNC(=O)N1CCCC[NH2+]C1CC1,20
70,916304,7c6fe0e12af56c1e868bc86deb812b14e701b10ac80f591ab5ba075e043d2d5d,CC(C)(C)n1cc(C=O)c(-c2cccc([N+](=O)[O-])c2)n1,c1ccc(-c2cc[nH]n2)cc1,20
71,709731,1c630e6a709a4a27c81bd823a0355fdd2157ae0cfcd449bd9f15dd0213734649,CCC(OC)C(=O)NC1CCCOC1c1cnn(CC)c1,c1n[nH]cc1C1CCCCO1,21
72,849476,f6fdedd28430cd3fc094659fcb11f5268613ce3ba34c9be70ea3a636c60d3566,CC(CN(C)C(=O)C1COC(=O)N1)NC(=O)c1ccsn1,O=C1NC(C(=O)NCCNC(=O)c2ccsn2)CO1,21
73,926877,6b03e86a1280652444aa290d6e391c22ba12b9933b5a2a3a778818fa18d8d195,CCN1CCN(c2ccc(CNc3ccnc4cc(F)cnc34)cn2)CC1,c1cnc2c(NCc3ccc(N4CCNCC4)nc3)ccnc2c1,27
74,361458,9594b1ec97cb521d7b1152eeb4a5b1f0f4d0b367fb208585952dc0275639047f,CCC1(C(=O)NCC=CC[NH2+]Cc2cc(C)ccc2C)CC1,O=C(NCC=CC[NH2+]Cc1ccccc1)C1CC1,22
75,29849,dce2d481412b5046b526963d3d4bbf809f2e22a406bd874c28dbbb5e8e99c29a,COc1cc(F)c(NCc2c(C)nn(C)c2Cl)cc1OC,c1ccc(NCc2cn[nH]c2)cc1,21
76,478424,2d388566612aa13653cf508a534fdaca1b5c0bda80e6d506548fcfa0b5a226ed,CC(OC(=O)c1c(O)cccc1Cl)C(=O)N(C)C1CCCCC1,O=C(COC(=O)c1ccccc1)NC1CCCCC1,23
77,327092,2148802f6b27102e1d4cfbbdc69c28667bd97d0ecad70632c325a528a53be749,CN(C)C(=O)c1cccc(CCNC(=O)CN2CC(C)(C)C2)c1,O=C(CN1CCC1)NCCc1ccccc1,23
78,228774,c57dcdfbf442703437dd4c0e6ed6d5ef72bf3538890e08ad004ca5d2ec211b99,c1ccc(-c2nc3c(c(N4CC(Cc5cccs5)C4)n2)CCC3)nc1,c1ccc(-c2nc3c(c(N4CC(Cc5cccs5)C4)n2)CCC3)nc1,25
79,473448,3b81f3323b3659c1d3cee75e2cb13b8e2e9c53a24a2fba8fa8a99ce8f2f33491,Cc1ccc2c(c1)C(=O)c1cc(C)cc(C(C)C)c1-2,O=C1c2ccccc2-c2ccccc21,19
80,752198,1a5557736f26df54b19b30cc8c65464e0a910ac54189df8b2b833e510ffea0fd,Cc1ccc2nc(-c3ccccn3)c(Nc3ccc(F)cc3)n2c1,c1ccc(Nc2c(-c3ccccn3)nc3ccccn23)cc1,24
81,102740,e835cbbefbac75ac81323dd6f77de5f205c942e840fe2e3146e101a1c9320dff,Cc1nn(C)c(C)c1C(C)Nc1ccc(C#N)c(Cl)c1,c1ccc(NCc2cn[nH]c2)cc1,20
82,71449,9ab29a5c39f06dcc6e186e0b81a60d8ba508f869e3259e23149bf9c89273e5ba,Cc1ccc(C)c(N2CCN(C(=O)CSCC3CCCCO3)CC2)c1,O=C(CSCC1CCCCO1)N1CCN(c2ccccc2)CC1,25
83,480113,2005fc4407b54ddefcd19bcc7997279b2d3160f53c37256e515df9b2cdb8d6ef,CC(O)CC(C[N-]S(=O)(=O)c1ccc(F)c(F)c1F)c1ccccc1,O=S(=O)([N-]CCc1ccccc1)c1ccccc1,25
84,915232,c31a294e6c290bfd65c601bbcbcc4e83078f7ad11896210ded6129335aa32704,CC(C)(C)c1ccc(NC(=O)NCCSCc2ccnc(Cl)c2)nn1,O=C(NCCSCc1ccncc1)Nc1cccnn1,25
85,720853,6e7504f3ef59848c6671acdd374131360f3949e285813be5319cf8f9792b40d8,Cc1cc(C[NH2+]CC2CCCN(C(=O)c3ccc(F)cc3)C2)nn1C,O=C(c1ccccc1)N1CCCC(C[NH2+]Cc2cc[nH]n2)C1,25
86,871955,7edd3a5802eaaf822e3ef20b95de756e10b567908761b6dce7159b95aa7a45c8,CCNc1nc(N(C)C)nc(N(C)Cc2csc(Br)c2)n1,c1ncnc(NCc2ccsc2)n1,21
87,308294,58518da32963af1ec0fbba17ab9e8528c1866d3af34c40dda3237d73f767ae62,CC#CCCCC(=O)NC1CC[NH+](Cc2ccccc2)CC1,c1ccc(C[NH+]2CCCCC2)cc1,22
88,789074,72de6cffee28d6580a8db96511db842bf01e79ba45a26c64650c36df3d491a23,Cc1nc(N2CCC(CO)C2)sc1S(N)(=O)=O,c1csc(N2CCCC2)n1,17
89,371775,e87d756371f3445c19a5a18ac930f2b8f45846b1b4c2299a4a7aeadd267f59b0,CCc1ccccc1OCC(=O)Nc1ccccc1S(=O)(=O)C(F)F,O=C(COc1ccccc1)Nc1ccccc1,25
90,491582,fc934c66b8ff11a76636bfc79adedabc46b6d48005f9efe0ac959f9aa8084c5f,Cn1c(=O)c2c(cc(C=Cc3ccccc3O)n2C)n(C)c1=O,O=c1[nH]c(=O)c2[nH]c(C=Cc3ccccc3)cc2[nH]1,23
91,4641,041556a9961f69d733cb625ee503bbf8f9f3f3d42ca3b30a8855d2921135f30f,CCC(=O)N1CC2(CCCN(C(=O)c3ccnn3C(CC)CC)C2)C1,O=C(c1ccn[nH]1)N1CCCC2(CNC2)C1,25
92,249245,edd63eede4665eccd9c0b7a0e4dfa43dd652fe110483ed1826f4701922ab16b8,CCCN(C)c1ccc(C(=O)N2CCN(S(=O)(=O)c3cccnc3)CC2)cc1,O=C(c1ccccc1)N1CCN(S(=O)(=O)c2cccnc2)CC1,28
93,690433,0d44b089195f43c36dcc67e366284037bb411ad17b9e24057c305c109a2c3cd4,Cc1cc(=O)c(C(=O)N2CC([NH2+]Cc3ccn(C)n3)CC2C)cn1C,O=C(c1c[nH]ccc1=O)N1CCC([NH2+]Cc2cc[nH]n2)C1,25
94,165226,693649a4440bcb72f9ebd90303a353f5da40660e261dd8f8667c56efc001a5ff,COc1ccc(CC(=O)N2CCN(CCO)C3CS(=O)(=O)CC32)nc1,O=C(Cc1ccccn1)N1CCNC2CS(=O)(=O)CC21,25
95,495314,d7d17b382ba6a81cef443c1c2a40e46fd78851bb60ed6a74a0c74977fcad6bf4,CC1CC[NH+](Cc2cccc(CNC(=O)CCC(C)(C)C)c2)CC1,c1ccc(C[NH+]2CCCCC2)cc1,24
96,171669,486f283178c367a2e989a4ddc856d277d126dce66c9d03bc13c5bbb5e110621a,N#CC(C#N)=C1CCC(OC(=O)c2ccccc2)CC1,C=C1CCC(OC(=O)c2ccccc2)CC1,20
97,434964,916419baf5ccd3c9351d7e5fb432de03bddfb703b5619a009e3568f87fe309ad,C#CCC[NH2+]C(C)C1CN(C(=O)c2ncoc2C2CC2)CCO1,O=C(c1ncoc1C1CC1)N1CCOCC1,23
98,530684,a29805283065dd31fdc81674f308526c2b26ad924966bf07084ca9d5e7de7387,N#CC1CCN(CC(O)COc2ccc(CCO)cc2)C1,c1ccc(OCCCN2CCCC2)cc1,21
99,37864,e13022eaec73cdc43320b7f602c03230e5aaf23ce7bea05adfa63a756199399a,Cc1cccc(Nc2nc(-c3ccncc3)ns2)c1,c1ccc(Nc2nc(-c3ccncc3)ns2)cc1,19
100,817016,7492d914c19a04f19392eab68771036410922d231061b836b680a66795b54c7f,O=[N+]([O-])c1ccc(C(F)(F)c2nc(Cc3ccccc3Br)no2)cc1,c1ccc(Cc2noc(Cc3ccccc3)n2)cc1,25
