control,rows,stereochemical_targets,rdkit_valid_smiles_n,rdkit_valid_smiles_mean,rdkit_valid_smiles_ci_low,rdkit_valid_smiles_ci_high,rdkit_valid_smiles_median,gmolai_policy_accepted_n,gmolai_policy_accepted_mean,gmolai_policy_accepted_ci_low,gmolai_policy_accepted_ci_high,gmolai_policy_accepted_median,exact_smiles_string_reconstruction_n,exact_smiles_string_reconstruction_mean,exact_smiles_string_reconstruction_ci_low,exact_smiles_string_reconstruction_ci_high,exact_smiles_string_reconstruction_median,exact_canonical_reconstruction_n,exact_canonical_reconstruction_mean,exact_canonical_reconstruction_ci_low,exact_canonical_reconstruction_ci_high,exact_canonical_reconstruction_median,molecular_identity_recovery_n,molecular_identity_recovery_mean,molecular_identity_recovery_ci_low,molecular_identity_recovery_ci_high,molecular_identity_recovery_median,scaffold_recovery_n,scaffold_recovery_mean,scaffold_recovery_ci_low,scaffold_recovery_ci_high,scaffold_recovery_median,morgan_similarity_to_target_n,morgan_similarity_to_target_mean,morgan_similarity_to_target_ci_low,morgan_similarity_to_target_ci_high,morgan_similarity_to_target_median,condition_source_identity_recovery_n,condition_source_identity_recovery_mean,condition_source_identity_recovery_ci_low,condition_source_identity_recovery_ci_high,condition_source_identity_recovery_median,condition_source_scaffold_recovery_n,condition_source_scaffold_recovery_mean,condition_source_scaffold_recovery_ci_low,condition_source_scaffold_recovery_ci_high,condition_source_scaffold_recovery_median,morgan_similarity_to_condition_source_n,morgan_similarity_to_condition_source_mean,morgan_similarity_to_condition_source_ci_low,morgan_similarity_to_condition_source_ci_high,morgan_similarity_to_condition_source_median,reencoded_cosine_to_target_n,reencoded_cosine_to_target_mean,reencoded_cosine_to_target_ci_low,reencoded_cosine_to_target_ci_high,reencoded_cosine_to_target_median,reencoded_cosine_to_supplied_condition_n,reencoded_cosine_to_supplied_condition_mean,reencoded_cosine_to_supplied_condition_ci_low,reencoded_cosine_to_supplied_condition_ci_high,reencoded_cosine_to_supplied_condition_median,reencoded_rmse_to_target_n,reencoded_rmse_to_target_mean,reencoded_rmse_to_target_ci_low,reencoded_rmse_to_target_ci_high,reencoded_rmse_to_target_median,reencoded_rmse_to_supplied_condition_n,reencoded_rmse_to_supplied_condition_mean,reencoded_rmse_to_supplied_condition_ci_low,reencoded_rmse_to_supplied_condition_ci_high,reencoded_rmse_to_supplied_condition_median,reencoded_relative_l2_to_target_n,reencoded_relative_l2_to_target_mean,reencoded_relative_l2_to_target_ci_low,reencoded_relative_l2_to_target_ci_high,reencoded_relative_l2_to_target_median,reencoded_relative_l2_to_supplied_condition_n,reencoded_relative_l2_to_supplied_condition_mean,reencoded_relative_l2_to_supplied_condition_ci_low,reencoded_relative_l2_to_supplied_condition_ci_high,reencoded_relative_l2_to_supplied_condition_median
correct_embedding,10000,0,10000,0.9752,0.972,0.9783,1.0,10000,0.9752,0.9722,0.9781,1.0,10000,0.6235,0.6142974999999999,0.6329,1.0,10000,0.639,0.6295975,0.6485025,1.0,10000,0.639,0.6292975,0.6487,1.0,10000,0.747,0.7386975,0.755,1.0,10000,0.8494532584797394,0.8445939539706216,0.8541881016232972,1.0,10000,0.639,0.6293,0.6483049999999999,1.0,10000,0.747,0.7389,0.7558,1.0,10000,0.8494532584797394,0.8447041526812765,0.8540408497199954,1.0,9752,0.9938323787301374,0.9933367459870919,0.9943130464145412,0.99999983532092,9752,0.9938323787301374,0.993313970821906,0.994315914257969,0.99999983532092,9752,0.09944788624460495,0.09488002920110053,0.10411189923570481,0.0009825772200640183,9752,0.09944788624460495,0.09542140495854239,0.10385418883583186,0.0009825772200640183,9752,0.04908865047314707,0.04710395306171816,0.05112487658428272,0.0005762894666962344,9752,0.04908865047314707,0.04697807849763816,0.051198887478601185,0.0005762894666962344
shuffled_embedding,10000,0,10000,0.9753,0.9724,0.9783,1.0,10000,0.9753,0.9723,0.9783,1.0,10000,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,10000,0.0053,0.0039,0.0068,0.0,10000,0.11255417849495082,0.11163348003266188,0.1134577107834876,0.11235955056179775,10000,0.6392,0.6302,0.6481,1.0,10000,0.7471,0.7385,0.756,1.0,10000,0.84952569685948,0.8448928375626718,0.854386611032905,1.0,9753,0.008663305896885415,0.00424194477244503,0.012950173679388301,-0.009567528364713087,9753,0.9937985475459488,0.9932938095607075,0.9942891491617087,0.9999998353531403,9753,2.6917989133937468,2.6806903873842667,2.703004034243471,2.6275121419881953,9753,0.09960352183594266,0.09517091000313246,0.10408961510016779,0.000982485177775259,9753,1.4423399202352616,1.4366625756350988,1.4482956086207068,1.4062874227763005,9753,0.04917058878510392,0.04700350582171477,0.051144178771131074,0.0005762341529019631
zero_embedding,10000,0,10000,1.0,1.0,1.0,1.0,10000,1.0,1.0,1.0,1.0,10000,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,10000,0.0,0.0,0.0,0.0,10000,0.14706078485694693,0.14629679655438543,0.1478207255728136,0.14634146341463414,0,,,,,0,,,,,0,,,,,10000,-0.007959676217026902,-0.011348968240634052,-0.004593903571674245,-0.009900821342816276,0,,,,,10000,2.346897763155487,2.3380407630486864,2.355545280641005,2.276246178996806,0,,,,,10000,1.2455651618788146,1.243156773764716,1.2479301758938766,1.2357137477367477,0,,,,
wrong_molecule_embedding,10000,0,10000,0.975,0.972,0.978,1.0,10000,0.975,0.9719,0.9779,1.0,10000,0.0007,0.0002,0.0013,0.0,10000,0.0007,0.0002,0.0012,0.0,10000,0.0007,0.0002,0.0013,0.0,10000,0.5015,0.4916,0.5113,1.0,10000,0.3917875882907643,0.38820073796336146,0.39523305106736834,0.36363636363636365,10000,0.6612,0.6519975,0.6703,1.0,10000,0.7731,0.7652,0.7813025,1.0,10000,0.8599960333835561,0.8551101512220878,0.8645817664374863,1.0,9750,0.8853222973279988,0.8837954270383966,0.8868851095409744,0.8991590750251298,9750,0.9950706022515993,0.9946048935407006,0.9955106020888546,0.9999998351371777,9750,0.8388807870647991,0.8323575327658898,0.845573381574959,0.8400249320011755,9750,0.0844673841765183,0.0807617947224559,0.08827757353426836,0.000972241847516882,9750,0.4495542591007597,0.4463063244031278,0.45287140729318887,0.45309034764171685,9750,0.04253119104310805,0.0406369492610973,0.0445007073916382,0.0005768464601754555
