chemical_category,delta_heavy_atom_count,delta_bond_count,delta_ring_count,delta_heteroatom_count,delta_formal_charge,element_count_delta_json,candidate_count,seed_count
scaffold_changing_analogue,0,0,0,0,0,{},129137,9617
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,{},29603,5861
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1}",25476,6769
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1}",19119,6193
scaffold_changing_analogue,1,1,0,1,0,"{""O"":1}",5176,2640
acyclic_non_mmp_analogue,0,0,0,0,0,{},4003,189
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""N"":-1}",3667,1502
scaffold_changing_analogue,1,1,0,1,0,"{""N"":1}",3540,1992
scaffold_preserving_non_mmp_analogue,1,1,0,0,0,"{""C"":1}",3283,1834
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""O"":1}",3123,1605
scaffold_changing_analogue,-1,-1,0,-1,0,"{""O"":-1}",2951,1414
scaffold_changing_analogue,0,0,1,0,0,{},2919,958
scaffold_preserving_non_mmp_analogue,-1,-1,0,0,0,"{""C"":-1}",2726,1325
scaffold_changing_analogue,-1,-1,0,-1,0,"{""N"":-1}",2173,1133
scaffold_changing_analogue,1,1,0,1,0,"{""S"":1}",1827,1164
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""N"":1}",1632,996
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""N"":1}",1460,884
scaffold_changing_analogue,-2,-2,0,-1,0,"{""C"":-1,""O"":-1}",1395,852
scaffold_changing_analogue,0,0,0,0,0,"{""N"":-1,""O"":1}",1284,756
scaffold_changing_analogue,0,0,0,0,0,"{""N"":1,""O"":-1}",1250,759
scaffold_changing_analogue,0,0,0,0,1,{},1210,717
scaffold_changing_analogue,2,2,0,0,0,"{""C"":2}",1059,666
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""O"":-1}",1015,614
scaffold_changing_analogue,-2,-2,0,0,0,"{""C"":-2}",995,719
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""S"":1}",979,707
scaffold_changing_analogue,-1,-1,1,0,0,"{""C"":-1}",818,410
scaffold_changing_analogue,1,1,1,0,0,"{""C"":1}",816,402
scaffold_changing_analogue,1,1,0,1,0,"{""F"":1}",777,448
acyclic_non_mmp_analogue,1,1,0,0,0,"{""C"":1}",754,152
scaffold_changing_analogue,0,0,0,0,0,"{""O"":-1,""S"":1}",751,483
scaffold_changing_analogue,-2,-2,0,-1,0,"{""C"":-1,""N"":-1}",716,509
scaffold_changing_analogue,0,0,0,0,0,"{""O"":1,""S"":-1}",665,358
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""O"":1}",650,434
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""N"":1,""O"":-1}",635,360
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""O"":1}",613,444
scaffold_changing_analogue,0,0,0,0,-1,{},607,396
acyclic_non_mmp_analogue,-1,-1,0,0,0,"{""C"":-1}",571,150
scaffold_changing_analogue,1,1,0,1,1,"{""N"":1}",567,372
scaffold_changing_analogue,0,0,0,1,0,"{""B"":1,""C"":-1}",542,445
scaffold_changing_analogue,-1,-1,0,-1,0,"{""F"":-1}",542,278
scaffold_changing_analogue,1,2,1,0,0,"{""C"":1}",479,295
scaffold_changing_analogue,0,0,0,0,0,"{""N"":-1,""S"":1}",459,325
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""P"":1}",450,369
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""N"":-1,""S"":1}",448,330
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""N"":-1,""O"":1}",442,279
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""F"":1}",413,248
scaffold_changing_analogue,0,0,0,0,0,"{""N"":1,""S"":-1}",397,253
scaffold_changing_analogue,1,1,0,1,0,"{""B"":1}",385,321
scaffold_changing_analogue,1,1,0,1,0,"{""Cl"":1}",372,233
scaffold_changing_analogue,0,0,-1,0,0,{},364,41
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""N"":-1,""O"":1}",348,248
scaffold_changing_analogue,-1,-1,0,-1,0,"{""S"":-1}",336,173
scaffold_changing_analogue,1,1,0,1,0,"{""P"":1}",331,271
scaffold_changing_analogue,2,2,0,1,1,"{""C"":1,""N"":1}",325,208
scaffold_changing_analogue,1,1,0,0,1,"{""C"":1}",314,217
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""N"":1,""S"":-1}",313,182
scaffold_preserving_non_mmp_analogue,2,2,0,1,0,"{""C"":1,""O"":1}",304,225
scaffold_changing_analogue,1,1,0,-1,0,"{""C"":2,""N"":-1}",303,195
scaffold_changing_analogue,1,1,0,1,-1,"{""O"":1}",301,199
scaffold_changing_analogue,2,2,0,2,0,"{""O"":1,""S"":1}",300,190
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""N"":1}",299,249
scaffold_preserving_non_mmp_analogue,-1,-1,0,-1,0,"{""F"":-1}",294,157
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""F"":1}",289,209
scaffold_changing_analogue,2,3,1,0,0,"{""C"":2}",284,211
scaffold_preserving_non_mmp_analogue,-1,-1,0,-1,0,"{""O"":-1}",270,189
scaffold_changing_analogue,0,0,0,0,1,"{""N"":1,""O"":-1}",270,167
scaffold_preserving_non_mmp_analogue,-2,-2,0,0,0,"{""C"":-2}",242,142
scaffold_changing_analogue,-1,-1,0,1,0,"{""C"":-2,""N"":1}",236,179
scaffold_changing_analogue,1,1,0,2,0,"{""C"":-1,""O"":1,""S"":1}",230,157
scaffold_changing_analogue,-6,-7,-1,0,0,"{""C"":-6}",220,156
scaffold_changing_analogue,0,0,0,0,0,"{""P"":1,""S"":-1}",212,132
scaffold_changing_analogue,3,4,1,1,0,"{""C"":2,""N"":1}",208,157
scaffold_changing_analogue,1,1,0,1,0,"{""Br"":1}",207,154
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""S"":-1}",195,104
scaffold_changing_analogue,-1,-1,0,-2,0,"{""C"":1,""O"":-1,""S"":-1}",188,93
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""S"":1}",181,147
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""S"":1}",177,137
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""F"":-1}",177,113
scaffold_changing_analogue,2,2,0,2,0,"{""N"":1,""O"":1}",165,115
scaffold_changing_analogue,-1,-1,0,-1,1,"{""O"":-1}",165,113
scaffold_preserving_non_mmp_analogue,-2,-2,0,-1,0,"{""C"":-1,""O"":-1}",160,121
scaffold_changing_analogue,3,3,0,2,0,"{""C"":1,""N"":1,""O"":1}",159,102
scaffold_changing_analogue,-1,-1,0,0,1,"{""C"":-1}",157,125
scaffold_changing_analogue,-5,-6,-1,0,0,"{""C"":-5}",156,115
scaffold_changing_analogue,4,5,1,1,0,"{""C"":3,""N"":1}",156,111
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""N"":1,""O"":-1}",149,117
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""O"":-1,""S"":1}",145,107
scaffold_changing_analogue,-3,-3,0,-1,0,"{""C"":-2,""N"":-1}",144,119
scaffold_changing_analogue,-1,-1,0,1,0,"{""C"":-2,""S"":1}",144,115
scaffold_changing_analogue,-1,-1,0,0,-1,"{""C"":-1}",144,112
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""N"":-1,""O"":1}",143,90
scaffold_changing_analogue,0,0,0,1,1,"{""C"":-1,""N"":1}",138,114
acyclic_non_mmp_analogue,1,1,0,1,0,"{""O"":1}",138,58
scaffold_changing_analogue,0,0,0,0,0,"{""F"":-1,""O"":1}",137,75
scaffold_changing_analogue,1,1,0,0,1,"{""C"":1,""N"":1,""O"":-1}",134,87
scaffold_changing_analogue,-2,-3,-1,0,0,"{""C"":-2}",134,83
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""Cl"":1}",133,96
scaffold_changing_analogue,3,3,0,1,0,"{""C"":2,""N"":1}",132,87
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""Br"":1,""Cl"":-1}",129,95
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""Cl"":1}",124,97
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""Cl"":-1}",124,78
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""F"":-1,""O"":1}",124,67
acyclic_non_mmp_analogue,-1,-1,0,-1,0,"{""O"":-1}",123,48
scaffold_changing_analogue,0,0,0,0,0,"{""F"":1,""O"":-1}",122,85
scaffold_changing_analogue,-3,-3,0,-2,0,"{""C"":-1,""N"":-1,""O"":-1}",121,95
scaffold_changing_analogue,0,1,1,0,0,{},119,87
scaffold_changing_analogue,-1,-1,0,-1,0,"{""Cl"":-1}",119,83
scaffold_changing_analogue,1,1,1,1,0,"{""O"":1}",117,76
scaffold_changing_analogue,-3,-3,0,-1,0,"{""C"":-2,""O"":-1}",114,102
scaffold_changing_analogue,0,0,0,0,0,"{""Br"":1,""Cl"":-1}",114,77
scaffold_changing_analogue,-2,-2,0,-1,0,"{""C"":-1,""F"":-1}",112,77
scaffold_changing_analogue,-3,-4,-1,0,0,"{""C"":-3}",111,78
scaffold_preserving_non_mmp_analogue,2,2,0,1,0,"{""C"":1,""N"":1}",110,93
scaffold_preserving_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""F"":1}",109,86
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""Br"":-1,""I"":1}",109,83
scaffold_changing_analogue,0,0,0,0,0,"{""Br"":-1,""Cl"":1}",109,62
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""F"":1}",108,92
scaffold_changing_analogue,1,1,0,-1,0,"{""C"":2,""O"":-1}",108,72
scaffold_changing_analogue,-1,-1,0,-1,-1,"{""N"":-1}",107,73
scaffold_changing_analogue,0,0,0,0,-1,"{""N"":-1,""O"":1}",106,73
scaffold_changing_analogue,2,2,0,1,-1,"{""C"":1,""O"":1}",106,73
scaffold_changing_analogue,-4,-5,-1,0,0,"{""C"":-4}",104,83
scaffold_changing_analogue,1,1,-1,0,0,"{""C"":1}",103,24
scaffold_changing_analogue,1,1,0,1,0,"{""I"":1}",100,90
scaffold_preserving_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""S"":1}",100,88
scaffold_changing_analogue,2,3,1,1,0,"{""C"":1,""N"":1}",100,70
scaffold_changing_analogue,3,3,0,1,0,"{""C"":2,""O"":1}",99,81
scaffold_changing_analogue,3,4,1,0,0,"{""C"":3}",99,77
scaffold_changing_analogue,0,0,0,0,0,"{""Br"":-1,""I"":1}",99,61
scaffold_preserving_non_mmp_analogue,0,0,0,-1,0,"{""C"":1,""F"":-1}",99,60
scaffold_changing_analogue,3,4,1,0,0,"{""C"":3,""N"":1,""O"":-1}",98,59
scaffold_preserving_non_mmp_analogue,-1,-1,0,-1,0,"{""N"":-1}",97,79
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""Br"":-1,""Cl"":1}",96,60
scaffold_changing_analogue,-2,-2,0,-2,0,"{""N"":-1,""O"":-1}",95,65
scaffold_preserving_non_mmp_analogue,0,0,0,0,1,{},94,68
scaffold_preserving_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""O"":1}",93,71
scaffold_changing_analogue,2,2,0,0,0,"{""C"":2,""N"":-1,""O"":1}",92,64
scaffold_changing_analogue,1,1,0,0,-1,"{""C"":1}",91,73
scaffold_changing_analogue,2,3,1,0,0,"{""C"":2,""N"":1,""O"":-1}",91,60
scaffold_changing_analogue,0,0,0,-1,-1,"{""C"":1,""N"":-1}",91,58
scaffold_changing_analogue,-1,-1,0,1,0,"{""C"":-2,""O"":1}",90,75
scaffold_changing_analogue,0,0,0,-1,1,"{""C"":1,""O"":-1}",88,57
scaffold_changing_analogue,1,1,1,1,0,"{""N"":1}",85,68
scaffold_changing_analogue,0,0,0,0,0,"{""Cl"":1,""F"":-1}",85,64
scaffold_changing_analogue,-1,-2,-1,0,0,"{""C"":-1}",85,57
scaffold_changing_analogue,0,0,0,0,0,"{""Cl"":-1,""F"":1}",84,57
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""Cl"":-1,""F"":1}",83,65
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""O"":1,""S"":-1}",83,51
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""Br"":1}",82,73
scaffold_preserving_non_mmp_analogue,2,2,0,1,0,"{""C"":1,""F"":1}",82,66
scaffold_changing_analogue,0,0,0,0,0,"{""N"":-1,""P"":1}",82,65
scaffold_preserving_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""Cl"":1}",81,62
acyclic_non_mmp_analogue,1,1,0,1,0,"{""S"":1}",81,42
scaffold_changing_analogue,-1,-1,1,-1,0,"{""O"":-1}",80,59
acyclic_non_mmp_analogue,1,1,0,1,0,"{""N"":1}",80,46
scaffold_changing_analogue,-3,-3,0,0,0,"{""C"":-3}",78,65
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""N"":1,""O"":-1}",78,60
acyclic_non_mmp_analogue,2,2,0,1,0,"{""C"":1,""O"":1}",78,36
scaffold_changing_analogue,-2,-2,0,-1,1,"{""C"":-1,""O"":-1}",77,62
scaffold_preserving_non_mmp_analogue,1,1,0,1,-1,"{""O"":1}",75,49
scaffold_changing_analogue,-1,-1,-1,0,0,"{""C"":-1}",73,26
scaffold_changing_analogue,-6,-7,-1,-1,0,"{""C"":-5,""N"":-1}",72,65
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""F"":-1,""N"":1}",72,48
scaffold_preserving_non_mmp_analogue,0,0,0,-1,0,"{""C"":1,""O"":-1}",71,56
scaffold_changing_analogue,0,0,0,1,-1,"{""C"":-1,""O"":1}",71,52
scaffold_changing_analogue,-2,-2,0,-2,0,"{""O"":-1,""S"":-1}",71,46
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""F"":1,""N"":-1}",70,46
scaffold_changing_analogue,0,0,0,1,0,"{""Br"":1,""C"":-1}",69,53
scaffold_changing_analogue,1,1,0,1,-1,"{""N"":1}",69,44
scaffold_preserving_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""P"":1}",68,57
scaffold_changing_analogue,-2,-2,0,-1,-1,"{""C"":-1,""N"":-1}",68,54
scaffold_preserving_non_mmp_analogue,0,0,0,0,-1,{},68,53
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""Cl"":1,""F"":-1}",68,51
scaffold_preserving_non_mmp_analogue,0,0,0,-1,0,"{""C"":1,""Cl"":-1}",68,37
scaffold_changing_analogue,-4,-5,-1,-1,0,"{""C"":-3,""N"":-1}",63,39
scaffold_preserving_non_mmp_analogue,1,1,0,1,1,"{""N"":1}",62,50
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""F"":-1,""O"":1}",62,41
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""N"":-1,""S"":1}",60,47
scaffold_changing_analogue,0,0,0,0,0,"{""Cl"":1,""O"":-1}",60,44
scaffold_changing_analogue,-2,-2,0,-1,0,"{""C"":-1,""S"":-1}",59,46
scaffold_changing_analogue,-3,-4,-1,-1,0,"{""C"":-2,""N"":-1}",57,44
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""Si"":1}",57,39
scaffold_changing_analogue,-7,-8,-1,-1,0,"{""C"":-6,""N"":-1}",56,46
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""F"":-1,""N"":1}",56,43
acyclic_non_mmp_analogue,-1,-1,0,-1,0,"{""N"":-1}",56,26
acyclic_non_mmp_analogue,0,0,0,0,0,"{""N"":1,""O"":-1}",56,24
scaffold_changing_analogue,-2,-2,0,-2,0,"{""F"":-2}",55,38
scaffold_changing_analogue,0,0,0,0,0,"{""F"":-1,""N"":1}",55,37
acyclic_non_mmp_analogue,-2,-2,0,0,0,"{""C"":-2}",55,27
scaffold_changing_analogue,-4,-4,0,-2,0,"{""C"":-2,""N"":-1,""O"":-1}",53,50
scaffold_changing_analogue,4,5,1,1,0,"{""C"":3,""S"":1}",53,40
scaffold_changing_analogue,0,0,0,0,0,"{""Br"":1,""F"":-1}",53,35
scaffold_preserving_non_mmp_analogue,-1,-1,0,-1,0,"{""Cl"":-1}",52,45
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""Cl"":-1,""O"":1}",52,42
scaffold_changing_analogue,-1,-1,0,-2,0,"{""C"":1,""N"":-1,""O"":-1}",52,36
acyclic_non_mmp_analogue,0,0,0,-1,0,"{""C"":1,""O"":-1}",52,27
scaffold_preserving_non_mmp_analogue,0,0,0,1,0,"{""Br"":1,""C"":-1}",51,41
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""Br"":1,""F"":-1}",50,42
scaffold_preserving_non_mmp_analogue,0,0,0,-1,0,"{""C"":1,""N"":-1}",50,34
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""F"":1,""O"":-1}",50,32
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""P"":1,""S"":-1}",50,29
scaffold_preserving_non_mmp_analogue,-2,-2,0,-1,0,"{""C"":-1,""N"":-1}",49,45
scaffold_preserving_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""N"":1}",49,43
scaffold_changing_analogue,-3,-3,0,-2,0,"{""C"":-1,""F"":-2}",49,33
scaffold_changing_analogue,0,0,2,0,0,{},49,30
scaffold_preserving_non_mmp_analogue,2,2,0,0,0,"{""C"":2}",48,47
scaffold_changing_analogue,0,0,0,1,0,"{""C"":-1,""N"":-1,""O"":1,""S"":1}",48,40
scaffold_changing_analogue,-5,-6,-1,-1,0,"{""C"":-4,""N"":-1}",48,38
scaffold_changing_analogue,3,4,1,1,0,"{""C"":2,""S"":1}",48,36
scaffold_changing_analogue,-5,-6,-1,-2,0,"{""C"":-3,""N"":-2}",47,40
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""Cl"":-1,""N"":1}",47,34
scaffold_changing_analogue,-2,-2,0,0,0,"{""C"":-2,""N"":-1,""S"":1}",46,37
scaffold_changing_analogue,-8,-9,-1,-1,0,"{""C"":-7,""O"":-1}",46,36
scaffold_changing_analogue,-1,-1,0,0,-1,"{""C"":-1,""N"":-1,""O"":1}",46,33
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""Cl"":1}",46,28
scaffold_changing_analogue,1,1,0,1,0,"{""N"":-1,""O"":1,""S"":1}",45,33
scaffold_preserving_non_mmp_analogue,1,1,0,0,0,"{""C"":1,""N"":-1,""O"":1}",45,30
scaffold_changing_analogue,2,2,0,2,0,"{""F"":2}",45,30
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""B"":1}",44,36
scaffold_changing_analogue,2,2,0,0,0,"{""C"":2,""N"":1,""O"":-1}",44,35
scaffold_preserving_non_mmp_analogue,-1,-1,0,0,-1,"{""C"":-1}",43,39
scaffold_changing_analogue,-1,-1,0,0,1,"{""C"":-1,""N"":1,""O"":-1}",43,37
scaffold_preserving_non_mmp_analogue,1,1,0,1,0,"{""P"":1}",43,36
scaffold_changing_analogue,-4,-5,-1,1,0,"{""C"":-5,""O"":1}",43,34
scaffold_preserving_non_mmp_analogue,-2,-2,0,-1,0,"{""C"":-1,""F"":-1}",43,27
scaffold_changing_analogue,0,0,0,0,0,"{""Br"":1,""I"":-1}",43,15
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""P"":1,""S"":-1}",42,37
scaffold_changing_analogue,-7,-8,-1,-1,0,"{""C"":-6,""O"":-1}",42,34
scaffold_changing_analogue,2,2,0,2,0,"{""O"":2}",42,26
acyclic_non_mmp_analogue,-2,-2,0,-1,0,"{""C"":-1,""O"":-1}",42,19
scaffold_changing_analogue,-9,-10,-1,-2,0,"{""C"":-7,""N"":-1,""O"":-1}",41,35
scaffold_changing_analogue,2,2,0,2,0,"{""O"":1,""P"":1}",41,34
scaffold_changing_analogue,-2,-2,0,0,0,"{""C"":-2,""N"":1,""O"":-1}",41,29
scaffold_changing_analogue,1,1,0,1,0,"{""Si"":1}",41,29
scaffold_changing_analogue,1,1,0,-1,0,"{""C"":2,""S"":-1}",41,26
scaffold_changing_analogue,2,2,0,1,0,"{""Br"":1,""C"":1}",41,22
scaffold_changing_analogue,-8,-9,-1,-1,0,"{""C"":-7,""N"":-1}",40,33
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""N"":-2,""O"":1}",40,30
scaffold_changing_analogue,-7,-8,-1,0,0,"{""C"":-7}",39,32
scaffold_changing_analogue,0,0,0,0,0,"{""Cl"":-1,""N"":1}",39,24
scaffold_changing_analogue,0,0,0,0,0,"{""Cl"":-1,""O"":1}",39,24
scaffold_preserving_non_mmp_analogue,-1,-1,0,0,0,"{""C"":-1,""N"":-1,""O"":1}",38,29
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""Br"":1,""I"":-1}",38,17
scaffold_changing_analogue,0,0,0,0,0,"{""F"":1,""N"":-1}",37,30
scaffold_changing_analogue,3,3,0,2,0,"{""C"":1,""F"":2}",37,26
scaffold_changing_analogue,-1,-1,0,-2,0,"{""C"":1,""N"":-2}",37,25
scaffold_preserving_non_mmp_analogue,1,1,0,0,0,"{""C"":1,""F"":-1,""O"":1}",37,24
scaffold_changing_analogue,-2,-2,0,0,0,"{""C"":-2,""N"":-1,""O"":1}",36,28
scaffold_changing_analogue,-3,-3,0,-3,0,"{""O"":-2,""S"":-1}",36,27
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""Cl"":1,""N"":-1}",36,27
scaffold_preserving_non_mmp_analogue,1,1,0,0,0,"{""C"":1,""Cl"":-1,""O"":1}",36,26
scaffold_changing_analogue,-1,-1,1,-1,0,"{""N"":-1}",36,25
scaffold_changing_analogue,2,2,1,1,0,"{""C"":1,""O"":1}",36,25
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""N"":1,""O"":-1,""S"":-1}",36,23
acyclic_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""Si"":1}",36,15
scaffold_changing_analogue,1,1,0,1,0,"{""N"":-1,""O"":2}",36,14
scaffold_changing_analogue,0,1,1,-1,0,"{""C"":1,""O"":-1}",35,32
scaffold_changing_analogue,-1,0,0,-1,0,"{""H"":1,""N"":-1}",35,31
scaffold_changing_analogue,0,0,0,0,0,"{""Br"":1,""O"":-1}",35,27
scaffold_preserving_non_mmp_analogue,-3,-3,0,0,0,"{""C"":-3}",35,26
scaffold_changing_analogue,-4,-4,0,0,0,"{""C"":-4}",35,23
scaffold_changing_analogue,0,0,0,0,0,"{""Br"":-1,""F"":1}",34,28
scaffold_changing_analogue,-4,-5,-1,-2,0,"{""C"":-2,""N"":-2}",34,27
scaffold_changing_analogue,3,3,0,2,0,"{""C"":1,""O"":2}",34,21
scaffold_changing_analogue,0,-1,-1,0,0,{},34,20
acyclic_non_mmp_analogue,1,1,0,1,0,"{""F"":1}",34,19
acyclic_non_mmp_analogue,0,0,0,0,0,"{""N"":-1,""O"":1}",34,18
scaffold_changing_analogue,-7,-8,-1,-1,0,"{""C"":-6,""F"":-1}",33,27
scaffold_changing_analogue,1,1,0,2,0,"{""C"":-1,""N"":1,""O"":1}",33,26
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""F"":1,""O"":-1}",33,24
scaffold_changing_analogue,0,0,1,-1,0,"{""C"":1,""O"":-1}",33,16
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""O"":-1,""S"":1}",32,28
scaffold_changing_analogue,-4,-4,0,-1,0,"{""C"":-3,""N"":-1}",32,27
scaffold_changing_analogue,-1,-1,0,0,-1,"{""C"":-1,""N"":-1,""S"":1}",32,23
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""F"":-2,""O"":1}",32,13
scaffold_changing_analogue,-1,-1,0,-1,0,"{""F"":-2,""O"":1}",31,19
scaffold_changing_analogue,-8,-9,-1,-2,0,"{""C"":-6,""N"":-1,""O"":-1}",30,28
scaffold_changing_analogue,4,5,1,1,0,"{""C"":3,""O"":1}",30,28
scaffold_changing_analogue,-6,-7,-1,-2,0,"{""C"":-4,""N"":-2}",30,26
scaffold_changing_analogue,-2,-2,0,-2,0,"{""N"":-2}",30,22
scaffold_changing_analogue,1,1,0,1,1,"{""O"":1}",30,21
scaffold_preserving_non_mmp_analogue,1,1,0,0,1,"{""C"":1}",30,19
scaffold_changing_analogue,-1,-1,0,-1,0,"{""N"":1,""O"":-1,""S"":-1}",30,19
scaffold_changing_analogue,0,0,0,0,-1,"{""F"":-1,""O"":1}",30,17
scaffold_preserving_non_mmp_analogue,0,0,0,1,0,"{""B"":1,""C"":-1}",29,24
scaffold_changing_analogue,3,4,1,1,0,"{""C"":2,""O"":1}",29,24
scaffold_changing_analogue,-3,-3,0,-1,-1,"{""C"":-2,""N"":-1}",29,23
scaffold_changing_analogue,-2,-2,1,-1,0,"{""C"":-1,""O"":-1}",29,22
scaffold_changing_analogue,1,2,1,0,0,"{""C"":1,""N"":1,""O"":-1}",29,21
scaffold_changing_analogue,2,2,0,0,0,"{""C"":2,""N"":1,""S"":-1}",29,20
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""P"":1,""S"":-1}",29,19
scaffold_changing_analogue,-1,-1,1,-1,0,"{""F"":-1}",29,17
scaffold_changing_analogue,2,2,0,1,0,"{""C"":1,""N"":-1,""O"":2}",29,10
scaffold_changing_analogue,0,0,0,-1,0,"{""C"":1,""Si"":-1}",29,8
scaffold_changing_analogue,0,0,0,0,0,"{""O"":-1,""P"":1}",28,25
scaffold_changing_analogue,-1,-1,0,-1,0,"{""O"":-1,""P"":1,""S"":-1}",28,24
scaffold_preserving_non_mmp_analogue,0,0,0,1,1,"{""C"":-1,""N"":1}",28,23
scaffold_changing_analogue,-5,-6,-1,-1,0,"{""C"":-4,""O"":-1}",28,23
scaffold_changing_analogue,-4,-5,-1,-1,0,"{""C"":-3,""O"":-1}",28,22
scaffold_changing_analogue,-1,-1,0,0,0,"{""Br"":1,""C"":-1,""O"":-1}",28,22
scaffold_changing_analogue,1,1,1,1,0,"{""S"":1}",28,20
acyclic_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""S"":1}",28,17
acyclic_non_mmp_analogue,0,0,0,1,0,"{""C"":-1,""O"":1}",28,14
acyclic_non_mmp_analogue,-1,-1,0,-1,0,"{""F"":-1}",28,11
scaffold_preserving_non_mmp_analogue,0,0,0,0,0,"{""Br"":-1,""F"":1}",27,26
scaffold_changing_analogue,2,2,1,1,0,"{""C"":1,""N"":1}",27,26
scaffold_changing_analogue,2,2,0,1,0,"{""B"":1,""C"":1}",27,24
scaffold_changing_analogue,-1,-1,0,0,0,"{""C"":-1,""F"":1,""O"":-1}",27,23
scaffold_changing_analogue,1,1,0,0,-1,"{""C"":1,""N"":-1,""O"":1}",27,22
scaffold_changing_analogue,1,1,0,0,0,"{""C"":1,""O"":-1,""S"":1}",27,22
scaffold_changing_analogue,1,1,0,1,0,"{""O"":1,""P"":1,""S"":-1}",27,21
scaffold_changing_analogue,-2,-2,1,0,0,"{""C"":-2}",27,20
scaffold_changing_analogue,-1,-1,0,-1,1,"{""N"":-1}",27,20
acyclic_non_mmp_analogue,0,0,0,0,1,{},27,15
acyclic_non_mmp_analogue,0,0,0,0,0,"{""O"":1,""S"":-1}",27,8
scaffold_preserving_non_mmp_analogue,2,2,0,2,0,"{""O"":1,""S"":1}",26,25
scaffold_changing_analogue,3,3,0,2,0,"{""C"":1,""O"":1,""S"":1}",26,23
