frequency_rank,seed_to_candidate_transform,seed_substituent,candidate_substituent,mmp_edit_class,variable_heavy_atom_delta,candidate_count,seed_count,unique_candidate_molecules,ambiguous_explanation_count,mean_morgan_to_seed,median_morgan_to_seed,median_core_heavy_atoms
1,C[*:1]>>CC[*:1],C[*:1],CC[*:1],substituent_growth,1.0,581,510,581,414,0.8158631,0.8113208,22.0
2,CC[*:1]>>C[*:1],CC[*:1],C[*:1],substituent_truncation,-1.0,566,520,566,449,0.8176988,0.8181818,20.0
3,Cl[*:1]>>Br[*:1],Cl[*:1],Br[*:1],equal_heavy_atom_replacement,0.0,305,285,305,212,0.7780189,0.78571427,21.0
4,Br[*:1]>>I[*:1],Br[*:1],I[*:1],equal_heavy_atom_replacement,0.0,189,189,189,94,0.75604403,0.75609756,19.0
5,Cl[*:1]>>F[*:1],Cl[*:1],F[*:1],equal_heavy_atom_replacement,0.0,187,171,187,133,0.7970807,0.8,22.0
6,C[*:1]>>Cl[*:1],C[*:1],Cl[*:1],equal_heavy_atom_replacement,0.0,159,149,159,115,0.8164934,0.8181818,22.0
7,C[*:1]>>F[*:1],C[*:1],F[*:1],equal_heavy_atom_replacement,0.0,153,150,153,114,0.8174678,0.8235294,22.0
8,CC(C)[*:1]>>CC[*:1],CC(C)[*:1],CC[*:1],substituent_truncation,-1.0,143,142,141,95,0.74076295,0.7457627,19.0
9,CO[*:1]>>O[*:1],CO[*:1],O[*:1],substituent_truncation,-1.0,108,108,108,74,0.7750674,0.7777778,20.0
10,C[*:1]>>CO[*:1],C[*:1],CO[*:1],substituent_growth,1.0,108,107,108,59,0.78411096,0.7883539,22.0
11,c1ccc([*:1])cc1>>C1=CCC=CC([*:1])=C1,c1ccc([*:1])cc1,C1=CCC=CC([*:1])=C1,substituent_growth,1.0,102,102,102,54,0.6305644,0.6393443,17.0
12,Br[*:1]>>Cl[*:1],Br[*:1],Cl[*:1],equal_heavy_atom_replacement,0.0,90,89,90,37,0.75824916,0.7555998,19.0
13,C[*:1]>>[CH2][*:1],C[*:1],[CH2][*:1],equal_heavy_atom_replacement,0.0,89,87,89,70,0.7587108,0.77272725,17.0
14,Br[*:1]>>BrB[*:1],Br[*:1],BrB[*:1],substituent_growth,1.0,87,87,87,40,0.75062746,0.754717,19.0
15,F[*:1]>>Cl[*:1],F[*:1],Cl[*:1],equal_heavy_atom_replacement,0.0,87,84,87,55,0.79374826,0.8,21.0
16,CC(C)[*:1]>>C[*:1],CC(C)[*:1],C[*:1],substituent_truncation,-2.0,85,85,85,42,0.7715174,0.7826087,20.0
17,OC[*:1]>>O[*:1],OC[*:1],O[*:1],substituent_truncation,-1.0,85,85,85,65,0.8167462,0.82608694,20.0
18,C[*:1]>>Br[*:1],C[*:1],Br[*:1],equal_heavy_atom_replacement,0.0,84,82,84,55,0.81303626,0.8158705,22.0
19,C1CCC([*:1])C1>>C1CC([*:1])C1,C1CCC([*:1])C1,C1CC([*:1])C1,substituent_truncation,-1.0,83,81,83,57,0.96121246,0.96,18.0
20,C[*:1]>>N#C[*:1],C[*:1],N#C[*:1],substituent_growth,1.0,79,76,79,49,0.77252924,0.7741935,22.0
21,COC[*:1]>>CO[*:1],COC[*:1],CO[*:1],substituent_truncation,-1.0,78,78,78,71,0.79813975,0.8073549,19.0
22,c1cncc([*:1])c1>>c1cc([*:1])ccn1,c1cncc([*:1])c1,c1cc([*:1])ccn1,equal_heavy_atom_replacement,0.0,77,77,77,50,0.76875377,0.7777778,17.0
23,CC(C)(C)[*:1]>>CC(C)[*:1],CC(C)(C)[*:1],CC(C)[*:1],substituent_truncation,-1.0,77,76,77,38,0.7103601,0.72,18.0
24,C1CCC([*:1])C1>>C1CCC([*:1])CC1,C1CCC([*:1])C1,C1CCC([*:1])CC1,substituent_growth,1.0,76,74,76,41,0.9765905,0.97727275,16.5
25,Cl[*:1]>>C[*:1],Cl[*:1],C[*:1],equal_heavy_atom_replacement,0.0,76,69,76,46,0.807328,0.80602,20.0
26,C[*:1]>>[C-][*:1],C[*:1],[C-][*:1],equal_heavy_atom_replacement,0.0,74,73,74,66,0.80535704,0.8155707,21.0
27,C[*:1]>>O[*:1],C[*:1],O[*:1],equal_heavy_atom_replacement,0.0,68,68,68,39,0.81974417,0.82,21.0
28,C1CC([*:1])C1>>C1CC1[*:1],C1CC([*:1])C1,C1CC1[*:1],substituent_truncation,-1.0,67,67,67,43,0.92112064,0.92,19.0
29,F[*:1]>>Br[*:1],F[*:1],Br[*:1],equal_heavy_atom_replacement,0.0,67,64,67,49,0.79234,0.80851066,21.0
30,C[*:1]>>N[*:1],C[*:1],N[*:1],equal_heavy_atom_replacement,0.0,64,62,64,47,0.8117988,0.81302965,21.5
31,C1CCC([*:1])CC1>>C1CCC([*:1])C1,C1CCC([*:1])CC1,C1CCC([*:1])C1,substituent_truncation,-1.0,63,63,63,33,0.97810817,0.9782609,17.0
32,CC(C)C[*:1]>>CC(C)[*:1],CC(C)C[*:1],CC(C)[*:1],substituent_truncation,-1.0,63,63,63,39,0.75554204,0.75,19.0
33,CC(C)[*:1]>>CC(C)C[*:1],CC(C)[*:1],CC(C)C[*:1],substituent_growth,1.0,61,61,61,37,0.76277834,0.7647059,20.0
34,C1CC1C[*:1]>>C1CC1[*:1],C1CC1C[*:1],C1CC1[*:1],substituent_truncation,-1.0,60,60,60,47,0.73848754,0.7340136,18.0
35,FC(F)(F)[*:1]>>FC(F)[*:1],FC(F)(F)[*:1],FC(F)[*:1],substituent_truncation,-1.0,60,59,60,39,0.7207921,0.72899014,18.0
36,c1ccc([*:1])cc1>>c1ccc(C[*:1])cc1,c1ccc([*:1])cc1,c1ccc(C[*:1])cc1,substituent_growth,1.0,57,56,57,35,0.7734321,0.75510204,18.0
37,c1csc([*:1])c1>>c1coc([*:1])c1,c1csc([*:1])c1,c1coc([*:1])c1,equal_heavy_atom_replacement,0.0,55,55,55,39,0.67286813,0.6779661,17.0
38,C[*:1]>>CS[*:1],C[*:1],CS[*:1],substituent_growth,1.0,54,53,54,36,0.7892526,0.79545456,22.0
39,C[*:1]>>P[*:1],C[*:1],P[*:1],equal_heavy_atom_replacement,0.0,54,51,54,42,0.7873533,0.7943746,19.0
40,c1ccc(C[*:1])cc1>>c1ccc([*:1])cc1,c1ccc(C[*:1])cc1,c1ccc([*:1])cc1,substituent_truncation,-1.0,53,53,53,30,0.7588595,0.74545455,17.0
41,c1coc([*:1])c1>>c1cc([*:1])co1,c1coc([*:1])c1,c1cc([*:1])co1,equal_heavy_atom_replacement,0.0,53,53,53,40,0.69458103,0.7,19.0
42,O=C([O-])[*:1]>>O=C(O)[*:1],O=C([O-])[*:1],O=C(O)[*:1],equal_heavy_atom_replacement,0.0,52,52,52,30,0.81597495,0.82,19.0
43,O[*:1]>>F[*:1],O[*:1],F[*:1],equal_heavy_atom_replacement,0.0,51,51,51,39,0.80832183,0.8181818,21.0
44,c1csc([*:1])c1>>c1cc([*:1])cs1,c1csc([*:1])c1,c1cc([*:1])cs1,equal_heavy_atom_replacement,0.0,51,50,51,37,0.7048909,0.704918,19.0
45,CO[*:1]>>COC[*:1],CO[*:1],COC[*:1],substituent_growth,1.0,50,50,50,40,0.7967941,0.78333336,20.0
46,c1cncc([*:1])c1>>c1ccc([*:1])nc1,c1cncc([*:1])c1,c1ccc([*:1])nc1,equal_heavy_atom_replacement,0.0,50,50,50,30,0.6675175,0.6782688,17.0
47,C1CC1[*:1]>>C1CC([*:1])C1,C1CC1[*:1],C1CC([*:1])C1,substituent_growth,1.0,48,48,48,33,0.9323775,0.9361702,21.0
48,Cc1cc([*:1])no1>>Cc1cc([*:1])on1,Cc1cc([*:1])no1,Cc1cc([*:1])on1,equal_heavy_atom_replacement,0.0,48,48,48,29,0.7190005,0.72970784,16.0
49,F[*:1]>>C[*:1],F[*:1],C[*:1],equal_heavy_atom_replacement,0.0,47,47,47,35,0.8198251,0.8378378,22.0
50,c1coc([*:1])c1>>c1csc([*:1])c1,c1coc([*:1])c1,c1csc([*:1])c1,equal_heavy_atom_replacement,0.0,47,47,47,32,0.68720824,0.6896552,18.0
51,c1cc([*:1])ccn1>>c1cncc([*:1])c1,c1cc([*:1])ccn1,c1cncc([*:1])c1,equal_heavy_atom_replacement,0.0,46,46,46,25,0.78673327,0.7900641,18.0
52,O[*:1]>>OC[*:1],O[*:1],OC[*:1],substituent_growth,1.0,46,45,46,33,0.81554854,0.8205503,21.0
53,Cl[*:1]>>N#C[*:1],Cl[*:1],N#C[*:1],substituent_growth,1.0,45,43,45,24,0.73568016,0.74545455,20.0
54,C[*:1]>>[B][*:1],C[*:1],[B][*:1],equal_heavy_atom_replacement,0.0,45,42,45,29,0.7704344,0.7755102,19.0
55,C[*:1]>>[CH2-][*:1],C[*:1],[CH2-][*:1],equal_heavy_atom_replacement,0.0,43,43,43,32,0.7739942,0.78431374,19.0
56,CC[*:1]>>CC(C)[*:1],CC[*:1],CC(C)[*:1],substituent_growth,1.0,43,42,43,28,0.7664432,0.7741935,22.0
57,N[*:1]>>O[*:1],N[*:1],O[*:1],equal_heavy_atom_replacement,0.0,42,41,42,18,0.7543459,0.7561562,17.0
58,F[*:1]>>FC[*:1],F[*:1],FC[*:1],substituent_growth,1.0,39,39,39,31,0.81661737,0.8032787,21.0
59,Fc1ccc([*:1])cc1>>Fc1cccc([*:1])c1,Fc1ccc([*:1])cc1,Fc1cccc([*:1])c1,equal_heavy_atom_replacement,0.0,39,39,39,23,0.8018339,0.80701756,19.0
60,O[*:1]>>CO[*:1],O[*:1],CO[*:1],substituent_growth,1.0,38,37,38,17,0.77524304,0.78221345,21.0
61,c1cnc([*:1])nc1>>c1cnnc([*:1])c1,c1cnc([*:1])nc1,c1cnnc([*:1])c1,equal_heavy_atom_replacement,0.0,37,37,37,13,0.69442296,0.70689654,18.0
62,CC[*:1]>>[C-][*:1],CC[*:1],[C-][*:1],substituent_truncation,-1.0,36,36,36,30,0.76676685,0.7787194,20.5
63,c1ccc([*:1])nc1>>c1cncc([*:1])c1,c1ccc([*:1])nc1,c1cncc([*:1])c1,equal_heavy_atom_replacement,0.0,36,36,36,17,0.68641204,0.68421054,18.0
64,C1CC([*:1])CO1>>C1CC([*:1])CCO1,C1CC([*:1])CO1,C1CC([*:1])CCO1,substituent_growth,1.0,35,35,35,19,0.87546384,0.87234044,17.0
65,N[*:1]>>[NH3+][*:1],N[*:1],[NH3+][*:1],equal_heavy_atom_replacement,0.0,35,35,35,20,0.73492783,0.7368421,17.0
66,C1CC([*:1])CO1>>C1OCC1[*:1],C1CC([*:1])CO1,C1OCC1[*:1],substituent_truncation,-1.0,34,34,34,17,0.8410258,0.84613526,16.0
67,O[*:1]>>N[*:1],O[*:1],N[*:1],equal_heavy_atom_replacement,0.0,34,34,34,22,0.7700583,0.78154826,20.0
68,C[*:1]>>B[*:1],C[*:1],B[*:1],equal_heavy_atom_replacement,0.0,34,33,34,29,0.7787035,0.78174603,18.0
69,O=C([O-])[*:1]>>[O]C(=O)[*:1],O=C([O-])[*:1],[O]C(=O)[*:1],equal_heavy_atom_replacement,0.0,33,33,33,18,0.81509775,0.82,18.0
70,C1CCC([*:1])CC1>>C1CCCC([*:1])CC1,C1CCC([*:1])CC1,C1CCCC([*:1])CC1,substituent_growth,1.0,32,32,32,20,1.0,1.0,17.0
71,F[*:1]>>O[*:1],F[*:1],O[*:1],equal_heavy_atom_replacement,0.0,32,31,32,15,0.7910186,0.8021739,19.0
72,C1COCC([*:1])C1>>C1CC([*:1])CCO1,C1COCC([*:1])C1,C1CC([*:1])CCO1,equal_heavy_atom_replacement,0.0,31,31,31,18,0.7576827,0.75510204,15.0
73,Cl[*:1]>>ClC[*:1],Cl[*:1],ClC[*:1],substituent_growth,1.0,31,30,31,14,0.76076865,0.7735849,19.0
74,c1ccc([*:1])cc1>>C1=CCC=C([*:1])C=C1,c1ccc([*:1])cc1,C1=CCC=C([*:1])C=C1,substituent_growth,1.0,31,30,31,13,0.64159185,0.6557377,18.0
75,C=CC[*:1]>>C=C[*:1],C=CC[*:1],C=C[*:1],substituent_truncation,-1.0,30,30,30,23,0.80941236,0.81012404,20.5
76,CC(C)C[*:1]>>CCC(C)[*:1],CC(C)C[*:1],CCC(C)[*:1],equal_heavy_atom_replacement,0.0,30,30,30,13,0.690704,0.71547616,18.0
77,NC[*:1]>>N[*:1],NC[*:1],N[*:1],substituent_truncation,-1.0,30,30,30,18,0.742583,0.73024946,15.0
78,O[*:1]>>C[*:1],O[*:1],C[*:1],equal_heavy_atom_replacement,0.0,30,30,30,17,0.8139803,0.8148148,22.0
79,C1CC([*:1])C1>>C1CCC([*:1])C1,C1CC([*:1])C1,C1CCC([*:1])C1,substituent_growth,1.0,30,29,30,17,0.96570325,0.9607843,20.0
80,CO[*:1]>>C[*:1],CO[*:1],C[*:1],substituent_truncation,-1.0,30,29,30,14,0.7839394,0.7787194,21.0
81,FC(F)(F)C[*:1]>>FC(F)(F)[*:1],FC(F)(F)C[*:1],FC(F)(F)[*:1],substituent_truncation,-1.0,30,29,30,16,0.73859113,0.7399356,17.0
82,Br[*:1]>>F[*:1],Br[*:1],F[*:1],equal_heavy_atom_replacement,0.0,29,29,29,8,0.75937784,0.7647059,18.0
83,C1CC1[*:1]>>C1CC1C[*:1],C1CC1[*:1],C1CC1C[*:1],substituent_growth,1.0,29,29,29,18,0.74035597,0.74545455,20.0
84,FC(F)[*:1]>>FC[*:1],FC(F)[*:1],FC[*:1],substituent_truncation,-1.0,29,29,29,21,0.74674624,0.75,20.0
85,Cl[*:1]>>P[*:1],Cl[*:1],P[*:1],equal_heavy_atom_replacement,0.0,27,27,27,21,0.7658344,0.7735849,21.0
86,FC[*:1]>>F[*:1],FC[*:1],F[*:1],substituent_truncation,-1.0,27,27,27,27,0.85096705,0.8596491,20.0
87,C=C[*:1]>>C#C[*:1],C=C[*:1],C#C[*:1],equal_heavy_atom_replacement,0.0,26,26,26,25,0.7101433,0.7241379,20.0
88,c1ccc([*:1])cc1>>C1=C=CC([*:1])=CC=1,c1ccc([*:1])cc1,C1=C=CC([*:1])=CC=1,equal_heavy_atom_replacement,0.0,26,26,26,11,0.63359964,0.62828946,16.0
89,Cl[*:1]>>CO[*:1],Cl[*:1],CO[*:1],substituent_growth,1.0,26,25,26,11,0.77239025,0.7705803,20.0
90,Br[*:1]>>P[*:1],Br[*:1],P[*:1],equal_heavy_atom_replacement,0.0,25,25,25,14,0.74502695,0.7368421,17.0
91,CO[*:1]>>[O-][*:1],CO[*:1],[O-][*:1],substituent_truncation,-1.0,25,25,25,18,0.742073,0.75510204,21.0
92,Cc1noc([*:1])n1>>Cc1nc([*:1])no1,Cc1noc([*:1])n1,Cc1nc([*:1])no1,equal_heavy_atom_replacement,0.0,25,25,25,14,0.72696584,0.73333335,18.0
93,C[*:1]>>CC(C)[*:1],C[*:1],CC(C)[*:1],substituent_growth,2.0,25,24,25,16,0.8034603,0.8103448,22.0
94,C[*:1]>>OC[*:1],C[*:1],OC[*:1],substituent_growth,1.0,25,24,25,21,0.7891873,0.7894737,20.0
95,C1CC([*:1])CCO1>>C1CC([*:1])CO1,C1CC([*:1])CCO1,C1CC([*:1])CO1,substituent_truncation,-1.0,24,24,24,16,0.88366485,0.8867925,18.0
96,Cc1cc(C)nc([*:1])n1>>Cc1cc([*:1])nc(C)n1,Cc1cc(C)nc([*:1])n1,Cc1cc([*:1])nc(C)n1,equal_heavy_atom_replacement,0.0,24,24,24,0,0.7557769,0.754717,17.0
97,Cl[*:1]>>O[*:1],Cl[*:1],O[*:1],equal_heavy_atom_replacement,0.0,24,24,24,17,0.78364664,0.780625,21.0
98,c1ccc([*:1])cc1>>c1csc([*:1])c1,c1ccc([*:1])cc1,c1csc([*:1])c1,substituent_truncation,-1.0,24,24,24,12,0.72892785,0.7215762,19.0
99,C[*:1]>>FC[*:1],C[*:1],FC[*:1],substituent_growth,1.0,24,21,24,18,0.7781236,0.7752525,21.0
100,Cc1cc([*:1])on1>>Cc1cc([*:1])no1,Cc1cc([*:1])on1,Cc1cc([*:1])no1,equal_heavy_atom_replacement,0.0,23,23,23,21,0.7254458,0.73214287,16.0
101,O=C(O)[*:1]>>O=C([O-])[*:1],O=C(O)[*:1],O=C([O-])[*:1],equal_heavy_atom_replacement,0.0,23,23,23,6,0.7917518,0.79545456,18.0
102,C#CC[*:1]>>C#C[*:1],C#CC[*:1],C#C[*:1],substituent_truncation,-1.0,22,22,22,19,0.7909532,0.8181818,19.0
103,C1CC([*:1])CO1>>C1CC([*:1])O1,C1CC([*:1])CO1,C1CC([*:1])O1,substituent_truncation,-1.0,22,22,22,13,0.6969613,0.7,16.0
104,C1COCC([*:1])C1>>C1COC([*:1])C1,C1COCC([*:1])C1,C1COC([*:1])C1,substituent_truncation,-1.0,22,22,22,14,0.6969028,0.6923077,15.0
105,CC(C)[*:1]>>CC(C)(C)[*:1],CC(C)[*:1],CC(C)(C)[*:1],substituent_growth,1.0,22,22,22,13,0.7474342,0.75,19.5
106,Cc1nnc([*:1])[nH]1>>Cc1nc([*:1])n[nH]1,Cc1nnc([*:1])[nH]1,Cc1nc([*:1])n[nH]1,equal_heavy_atom_replacement,0.0,22,22,22,17,0.6937437,0.6967742,17.5
107,N#C[*:1]>>C#C[*:1],N#C[*:1],C#C[*:1],equal_heavy_atom_replacement,0.0,22,22,22,16,0.7963541,0.8076212,20.0
108,c1ccc([*:1])cc1>>c1cncc([*:1])c1,c1ccc([*:1])cc1,c1cncc([*:1])c1,equal_heavy_atom_replacement,0.0,22,20,22,16,0.7949037,0.78221345,19.5
109,C1CC1[*:1]>>C[*:1],C1CC1[*:1],C[*:1],substituent_truncation,-2.0,21,21,21,10,0.7439295,0.76,19.0
110,C[NH+](C)[*:1]>>C[N+](C)[*:1],C[NH+](C)[*:1],C[N+](C)[*:1],equal_heavy_atom_replacement,0.0,21,21,21,14,0.7119524,0.7254902,19.0
111,Cc1ccccc1[*:1]>>Cc1cccc([*:1])c1,Cc1ccccc1[*:1],Cc1cccc([*:1])c1,equal_heavy_atom_replacement,0.0,21,21,21,11,0.7010499,0.7058824,18.0
112,Cn1cc([*:1])cn1>>Cn1ccc([*:1])n1,Cn1cc([*:1])cn1,Cn1ccc([*:1])n1,equal_heavy_atom_replacement,0.0,21,21,21,9,0.6887362,0.69491524,18.0
113,Fc1ccc([*:1])c(F)c1>>Fc1ccc(F)c([*:1])c1,Fc1ccc([*:1])c(F)c1,Fc1ccc(F)c([*:1])c1,equal_heavy_atom_replacement,0.0,21,21,21,8,0.84811,0.8490566,17.0
114,I[*:1]>>Br[*:1],I[*:1],Br[*:1],equal_heavy_atom_replacement,0.0,21,21,21,10,0.6927968,0.70731705,16.0
115,N#CC[*:1]>>N#C[*:1],N#CC[*:1],N#C[*:1],substituent_truncation,-1.0,21,21,21,19,0.8225616,0.8076923,20.0
116,Br[*:1]>>B[*:1],Br[*:1],B[*:1],equal_heavy_atom_replacement,0.0,20,20,20,11,0.7531658,0.75,17.0
117,Cc1ccc([*:1])cc1>>Cc1cccc([*:1])c1,Cc1ccc([*:1])cc1,Cc1cccc([*:1])c1,equal_heavy_atom_replacement,0.0,20,20,20,16,0.7987071,0.8,20.0
118,Cl[*:1]>>S[*:1],Cl[*:1],S[*:1],equal_heavy_atom_replacement,0.0,20,20,20,14,0.7832571,0.7777778,21.0
119,FC(F)(F)[*:1]>>Br[*:1],FC(F)(F)[*:1],Br[*:1],substituent_truncation,-3.0,20,20,20,5,0.7128328,0.72212696,19.0
120,N#C[*:1]>>Br[*:1],N#C[*:1],Br[*:1],substituent_truncation,-1.0,20,20,20,17,0.73222566,0.74357104,18.5
121,c1cnc([*:1])cn1>>c1cc([*:1])ncn1,c1cnc([*:1])cn1,c1cc([*:1])ncn1,equal_heavy_atom_replacement,0.0,20,20,20,9,0.72897184,0.74106,16.0
122,c1cnc([*:1])nc1>>c1cnc([*:1])cn1,c1cnc([*:1])nc1,c1cnc([*:1])cn1,equal_heavy_atom_replacement,0.0,20,20,20,13,0.7248162,0.7368421,18.5
123,C1CCC([*:1])C1>>C1CC1[*:1],C1CCC([*:1])C1,C1CC1[*:1],substituent_truncation,-2.0,19,19,19,15,0.9042546,0.90697676,16.0
124,C1COC(C[*:1])C1>>C1COC([*:1])C1,C1COC(C[*:1])C1,C1COC([*:1])C1,substituent_truncation,-1.0,19,19,19,13,0.7565847,0.74603176,17.0
125,C[*:1]>>CN[*:1],C[*:1],CN[*:1],substituent_growth,1.0,19,19,19,11,0.79437745,0.7894737,21.0
126,Cc1cc([*:1])no1>>Cc1nocc1[*:1],Cc1cc([*:1])no1,Cc1nocc1[*:1],equal_heavy_atom_replacement,0.0,19,19,19,11,0.6470094,0.6666667,16.0
127,Cc1ccc([*:1])c(C)c1>>Cc1ccc([*:1])cc1C,Cc1ccc([*:1])c(C)c1,Cc1ccc([*:1])cc1C,equal_heavy_atom_replacement,0.0,19,19,19,8,0.6965374,0.7017544,17.0
128,Cc1cccnc1[*:1]>>Cc1ncccc1[*:1],Cc1cccnc1[*:1],Cc1ncccc1[*:1],equal_heavy_atom_replacement,0.0,19,19,19,13,0.7621986,0.76666665,17.0
129,FC(F)[*:1]>>FC(F)(F)[*:1],FC(F)[*:1],FC(F)(F)[*:1],substituent_growth,1.0,19,19,19,14,0.72910637,0.7307692,19.0
130,Fc1ccc([*:1])cc1F>>Fc1ccc([*:1])c(F)c1,Fc1ccc([*:1])cc1F,Fc1ccc([*:1])c(F)c1,equal_heavy_atom_replacement,0.0,19,19,19,7,0.7030798,0.7037037,15.0
131,c1cc([*:1])no1>>c1cc([*:1])on1,c1cc([*:1])no1,c1cc([*:1])on1,equal_heavy_atom_replacement,0.0,19,19,19,16,0.6731698,0.6721311,18.0
132,C[*:1]>>S[*:1],C[*:1],S[*:1],equal_heavy_atom_replacement,0.0,19,18,19,13,0.77429867,0.77272725,19.0
133,c1ccc([*:1])cc1>>c1ccc([*:1])nc1,c1ccc([*:1])cc1,c1ccc([*:1])nc1,equal_heavy_atom_replacement,0.0,19,18,19,11,0.7481471,0.75409836,21.0
134,c1ccc([*:1])cc1>>c1coc([*:1])c1,c1ccc([*:1])cc1,c1coc([*:1])c1,substituent_truncation,-1.0,19,18,19,11,0.7488914,0.7586207,18.0
135,C1CCC([*:1])C1>>C1CSC([*:1])C1,C1CCC([*:1])C1,C1CSC([*:1])C1,equal_heavy_atom_replacement,0.0,18,18,18,11,0.7190386,0.72727275,16.5
136,CCOC[*:1]>>CCO[*:1],CCOC[*:1],CCO[*:1],substituent_truncation,-1.0,18,18,18,12,0.8018258,0.80950654,18.0
137,CC[*:1]>>[CH2-][*:1],CC[*:1],[CH2-][*:1],substituent_truncation,-1.0,18,18,18,14,0.7472511,0.75,19.0
138,Cc1ccc([*:1])c(C)c1>>Cc1ccc(C)c([*:1])c1,Cc1ccc([*:1])c(C)c1,Cc1ccc(C)c([*:1])c1,equal_heavy_atom_replacement,0.0,18,18,18,9,0.8414945,0.8415686,17.0
139,Cc1ccc([*:1])cc1C>>Cc1ccc([*:1])c(C)c1,Cc1ccc([*:1])cc1C,Cc1ccc([*:1])c(C)c1,equal_heavy_atom_replacement,0.0,18,18,18,8,0.71241647,0.7180011,18.0
140,FC(F)(F)[*:1]>>FC(F)(F)C[*:1],FC(F)(F)[*:1],FC(F)(F)C[*:1],substituent_growth,1.0,18,18,18,8,0.75128245,0.7523585,18.0
141,N#C[*:1]>>C[*:1],N#C[*:1],C[*:1],substituent_truncation,-1.0,18,18,18,10,0.7158132,0.7227451,20.5
142,O[*:1]>>[NH3+][*:1],O[*:1],[NH3+][*:1],equal_heavy_atom_replacement,0.0,18,18,18,14,0.7967559,0.8,20.5
143,c1cc([*:1])cs1>>c1csc([*:1])c1,c1cc([*:1])cs1,c1csc([*:1])c1,equal_heavy_atom_replacement,0.0,18,18,18,11,0.6925116,0.6982143,18.0
144,c1nc([*:1])n[nH]1>>c1n[nH]c([*:1])n1,c1nc([*:1])n[nH]1,c1n[nH]c([*:1])n1,equal_heavy_atom_replacement,0.0,18,18,18,10,0.6630815,0.6605458,18.5
145,Cc1conc1[*:1]>>Cc1nocc1[*:1],Cc1conc1[*:1],Cc1nocc1[*:1],equal_heavy_atom_replacement,0.0,18,17,18,12,0.7502117,0.76468927,17.0
146,C[*:1]>>O=C[*:1],C[*:1],O=C[*:1],substituent_growth,1.0,18,15,18,13,0.7710742,0.773896,22.0
147,C1CC1[*:1]>>C1CB1[*:1],C1CC1[*:1],C1CB1[*:1],equal_heavy_atom_replacement,0.0,17,17,17,14,0.7085522,0.7118644,17.0
148,C1COC([*:1])C1>>C1CC([*:1])O1,C1COC([*:1])C1,C1CC([*:1])O1,substituent_truncation,-1.0,17,17,17,12,0.9048032,0.90909094,18.0
149,C1COC([*:1])C1>>C1CCC([*:1])OC1,C1COC([*:1])C1,C1CCC([*:1])OC1,substituent_growth,1.0,17,17,17,14,0.941731,0.9375,18.0
150,CC(C)(C)C[*:1]>>CC(C)(C)[*:1],CC(C)(C)C[*:1],CC(C)(C)[*:1],substituent_truncation,-1.0,17,17,17,14,0.75961554,0.754717,17.0
151,C[*:1]>>[NH3+][*:1],C[*:1],[NH3+][*:1],equal_heavy_atom_replacement,0.0,17,17,17,15,0.79278815,0.7962963,20.0
152,Cc1cccc(C)c1[*:1]>>Cc1cccc([*:1])c1C,Cc1cccc(C)c1[*:1],Cc1cccc([*:1])c1C,equal_heavy_atom_replacement,0.0,17,17,17,8,0.79568124,0.8,16.0
153,Cc1nc([*:1])n[nH]1>>Cc1n[nH]c([*:1])n1,Cc1nc([*:1])n[nH]1,Cc1n[nH]c([*:1])n1,equal_heavy_atom_replacement,0.0,17,17,17,11,0.70184815,0.7090909,16.0
154,Cl[*:1]>>CS[*:1],Cl[*:1],CS[*:1],substituent_growth,1.0,17,17,16,11,0.7663547,0.7704918,22.0
155,FC(F)[*:1]>>FC(F)C[*:1],FC(F)[*:1],FC(F)C[*:1],substituent_growth,1.0,17,17,17,14,0.77305615,0.7741935,20.0
156,Fc1ccc([*:1])c(F)c1>>Fc1ccc([*:1])cc1F,Fc1ccc([*:1])c(F)c1,Fc1ccc([*:1])cc1F,equal_heavy_atom_replacement,0.0,17,17,17,8,0.7107877,0.70689654,17.0
157,Fc1cccc([*:1])c1>>Fc1ccccc1[*:1],Fc1cccc([*:1])c1,Fc1ccccc1[*:1],equal_heavy_atom_replacement,0.0,17,17,17,6,0.71215296,0.72131145,18.0
158,OC[*:1]>>CO[*:1],OC[*:1],CO[*:1],equal_heavy_atom_replacement,0.0,17,17,17,9,0.71353465,0.73214287,20.0
159,c1c[nH]c([*:1])n1>>c1cc([*:1])n[nH]1,c1c[nH]c([*:1])n1,c1cc([*:1])n[nH]1,equal_heavy_atom_replacement,0.0,17,17,17,7,0.68337125,0.6825397,18.0
160,c1cc([*:1])no1>>c1nocc1[*:1],c1cc([*:1])no1,c1nocc1[*:1],equal_heavy_atom_replacement,0.0,17,17,17,14,0.6807577,0.68333334,17.0
161,c1ccc([*:1])cc1>>C1=CC([*:1])=C1,c1ccc([*:1])cc1,C1=CC([*:1])=C1,substituent_truncation,-2.0,17,17,17,16,0.73802006,0.7446808,19.0
162,C#C[*:1]>>CC#C[*:1],C#C[*:1],CC#C[*:1],substituent_growth,1.0,16,16,16,16,0.77725834,0.80350876,21.0
163,C1CC2([*:1])CCC1C2>>C1CC2([*:1])CC1C2,C1CC2([*:1])CCC1C2,C1CC2([*:1])CC1C2,substituent_truncation,-1.0,16,16,16,4,0.90887266,0.90803385,15.0
164,C=C[*:1]>>C=CC[*:1],C=C[*:1],C=CC[*:1],substituent_growth,1.0,16,16,16,15,0.84301686,0.8130678,21.5
