frequency_rank,seed_to_candidate_transform,seed_substituent,candidate_substituent,mmp_edit_class,variable_heavy_atom_delta,candidate_count,seed_count,unique_candidate_molecules,ambiguous_explanation_count,mean_morgan_to_seed,median_morgan_to_seed,median_core_heavy_atoms
3640,Cc1cc(Cl)ccc1[*:1]>>Cc1cnc([*:1])c(Cl)c1,Cc1cc(Cl)ccc1[*:1],Cc1cnc([*:1])c(Cl)c1,equal_heavy_atom_replacement,0.0,2,2,2,0,0.5800638,0.5800638,13.0
3641,Cc1cc(Cl)ccc1[*:1]>>Cc1cnc([*:1])cc1Cl,Cc1cc(Cl)ccc1[*:1],Cc1cnc([*:1])cc1Cl,equal_heavy_atom_replacement,0.0,2,2,2,0,0.61607146,0.61607146,12.5
3642,Cc1cc(Cl)ccc1[*:1]>>Clc1ccc([*:1])cc1,Cc1cc(Cl)ccc1[*:1],Clc1ccc([*:1])cc1,substituent_truncation,-1.0,2,2,2,0,0.68736434,0.68736434,12.5
3643,Cc1cc(F)ccc1[*:1]>>Fc1ccc([*:1])cc1,Cc1cc(F)ccc1[*:1],Fc1ccc([*:1])cc1,substituent_truncation,-1.0,2,2,2,0,0.7365177,0.7365177,15.5
3644,Cc1cc(F)ncc1[*:1]>>Cc1cc([*:1])cnc1F,Cc1cc(F)ncc1[*:1],Cc1cc([*:1])cnc1F,equal_heavy_atom_replacement,0.0,2,2,2,1,0.69768274,0.69768274,14.0
3645,Cc1cc(F)ncc1[*:1]>>Cc1cnc(F)cc1[*:1],Cc1cc(F)ncc1[*:1],Cc1cnc(F)cc1[*:1],equal_heavy_atom_replacement,0.0,2,2,2,1,0.83797055,0.83797055,14.0
3646,Cc1cc(O)ccc1[*:1]>>Cc1cc([*:1])ccc1O,Cc1cc(O)ccc1[*:1],Cc1cc([*:1])ccc1O,equal_heavy_atom_replacement,0.0,2,2,2,0,0.63026005,0.63026005,12.0
3647,Cc1cc(O)ccc1[*:1]>>Cc1ccc(O)cc1[*:1],Cc1cc(O)ccc1[*:1],Cc1ccc(O)cc1[*:1],equal_heavy_atom_replacement,0.0,2,2,2,0,0.815873,0.815873,12.5
3648,Cc1cc(O)ccc1[*:1]>>Cc1ccc([*:1])cc1O,Cc1cc(O)ccc1[*:1],Cc1ccc([*:1])cc1O,equal_heavy_atom_replacement,0.0,2,2,2,0,0.63026005,0.63026005,12.0
3649,Cc1cc([*:1])[nH]n1>>Cc1c[nH]nc1[*:1],Cc1cc([*:1])[nH]n1,Cc1c[nH]nc1[*:1],equal_heavy_atom_replacement,0.0,2,2,2,2,0.6657407,0.6657407,15.5
3650,Cc1cc([*:1])[nH]n1>>Cc1cc(C[*:1])[nH]n1,Cc1cc([*:1])[nH]n1,Cc1cc(C[*:1])[nH]n1,substituent_growth,1.0,2,2,2,2,0.82482994,0.82482994,16.5
3651,Cc1cc([*:1])[nH]n1>>Cc1csc([*:1])n1,Cc1cc([*:1])[nH]n1,Cc1csc([*:1])n1,equal_heavy_atom_replacement,0.0,2,2,2,2,0.6533499,0.6533499,18.0
3652,Cc1cc([*:1])[nH]n1>>Cc1ncc([*:1])[nH]1,Cc1cc([*:1])[nH]n1,Cc1ncc([*:1])[nH]1,equal_heavy_atom_replacement,0.0,2,2,2,1,0.702459,0.702459,17.5
3653,Cc1cc([*:1])c(C)[nH]1>>Cc1[nH]cc([*:1])c1C,Cc1cc([*:1])c(C)[nH]1,Cc1[nH]cc([*:1])c1C,equal_heavy_atom_replacement,0.0,2,2,2,1,0.71500635,0.71500635,17.5
