population,bin_left,bin_right,count,fraction
all_unique_retained_candidates,0.8300000000000001,0.84,11507,0.001704499080648862
all_unique_retained_candidates,0.84,0.85,9079,0.001344846367707571
all_unique_retained_candidates,0.85,0.86,9949,0.0014737169856066333
all_unique_retained_candidates,0.86,0.87,8891,0.0013169984640696126
all_unique_retained_candidates,0.87,0.88,7190,0.0010650341870048943
all_unique_retained_candidates,0.88,0.89,5359,0.0007938133808288218
all_unique_retained_candidates,0.89,0.9,4945,0.0007324887419665094
all_unique_retained_candidates,0.9,0.91,3407,0.0005046691898644888
all_unique_retained_candidates,0.91,0.92,3305,0.0004895602208694264
all_unique_retained_candidates,0.92,0.93,3715,0.0005502923511436971
all_unique_retained_candidates,0.93,0.9400000000000001,2917,0.0004320868878293848
all_unique_retained_candidates,0.9400000000000001,0.9500000000000001,2087,0.00030914135581073914
all_unique_retained_candidates,0.9500000000000001,0.96,1620,0.00023996597815687464
all_unique_retained_candidates,0.96,0.97,719,0.00010650341870048942
all_unique_retained_candidates,0.97,0.98,1640,0.00024292852109708297
all_unique_retained_candidates,0.98,0.99,521,7.717424359242697e-05
all_unique_retained_candidates,0.99,1.0,2579,0.000382019912139864
genuine_nonseed_candidates,0.0,0.01,118,1.8347274411320702e-05
genuine_nonseed_candidates,0.01,0.02,447,6.95019632361047e-05
genuine_nonseed_candidates,0.02,0.03,656,0.00010199840689683374
genuine_nonseed_candidates,0.03,0.04,208,3.2340958284361916e-05
genuine_nonseed_candidates,0.04,0.05,211,3.280741441346329e-05
genuine_nonseed_candidates,0.05,0.06,1354,0.00021052719960108673
genuine_nonseed_candidates,0.06,0.07,1044,0.00016232673292727808
genuine_nonseed_candidates,0.07,0.08,1033,0.00016061639378723972
genuine_nonseed_candidates,0.08,0.09,1079,0.00016776872110012744
genuine_nonseed_candidates,0.09,0.1,1364,0.00021208205336475797
genuine_nonseed_candidates,0.1,0.11,1936,0.00030101968864675325
genuine_nonseed_candidates,0.11,0.12,2805,0.00043613648070978453
genuine_nonseed_candidates,0.12,0.13,3005,0.00046723355598320945
genuine_nonseed_candidates,0.13,0.14,4514,0.0007018609889212005
genuine_nonseed_candidates,0.14,0.15,5995,0.000932134831320912
genuine_nonseed_candidates,0.15,0.16,8709,0.0013541221427812882
genuine_nonseed_candidates,0.16,0.17,10408,0.001618291797229033
genuine_nonseed_candidates,0.17,0.18,13851,0.002153627948061043
genuine_nonseed_candidates,0.18,0.19,18721,0.00291084173096894
genuine_nonseed_candidates,0.19,0.2,18297,0.002844915931389279
genuine_nonseed_candidates,0.2,0.21,34120,0.0053051610416462915
genuine_nonseed_candidates,0.21,0.22,36625,0.005694651909445939
genuine_nonseed_candidates,0.22,0.23,44110,0.006858459951553867
genuine_nonseed_candidates,0.23,0.24,53025,0.008244612081866783
genuine_nonseed_candidates,0.24,0.25,47187,0.007336888454635509
genuine_nonseed_candidates,0.25,0.26,88203,0.013714276651709491
genuine_nonseed_candidates,0.26,0.27,82475,0.012823656415878602
genuine_nonseed_candidates,0.27,0.28,92007,0.014305743023410034
genuine_nonseed_candidates,0.28,0.29,111106,0.017275358226645745
genuine_nonseed_candidates,0.29,0.3,107982,0.01678962191087485
genuine_nonseed_candidates,0.3,0.31,141205,0.02195531256991983
genuine_nonseed_candidates,0.31,0.32,144487,0.022465615575156733
genuine_nonseed_candidates,0.32,0.33,158033,0.024571820483425804
genuine_nonseed_candidates,0.33,0.34,155931,0.024244990222302108
genuine_nonseed_candidates,0.34,0.35000000000000003,170642,0.026532335594038878
genuine_nonseed_candidates,0.35000000000000003,0.36,166480,0.025885205457598905
genuine_nonseed_candidates,0.36,0.37,192267,0.029894706857977946
genuine_nonseed_candidates,0.37,0.38,190007,0.029543309907388245
genuine_nonseed_candidates,0.38,0.39,194869,0.030299279807285206
genuine_nonseed_candidates,0.39,0.4,161786,0.02515535710093162
genuine_nonseed_candidates,0.4,0.41000000000000003,229135,0.035627141713881094
genuine_nonseed_candidates,0.41000000000000003,0.42,196441,0.030543702818934326
genuine_nonseed_candidates,0.42,0.43,187844,0.029206995038306156
genuine_nonseed_candidates,0.43,0.44,204689,0.03182614620321037
genuine_nonseed_candidates,0.44,0.45,189847,0.029518432247169504
genuine_nonseed_candidates,0.45,0.46,173714,0.027009986670238684
genuine_nonseed_candidates,0.46,0.47000000000000003,184613,0.028704621787263976
genuine_nonseed_candidates,0.47000000000000003,0.48,181521,0.028223861003536826
genuine_nonseed_candidates,0.48,0.49,142911,0.022220570622002146
genuine_nonseed_candidates,0.49,0.5,111504,0.01733724140643986
genuine_nonseed_candidates,0.5,0.51,229351,0.035660726555176395
genuine_nonseed_candidates,0.51,0.52,130814,0.020339664024089037
genuine_nonseed_candidates,0.52,0.53,132876,0.02066027487015805
genuine_nonseed_candidates,0.53,0.54,128463,0.019974117904249928
genuine_nonseed_candidates,0.54,0.55,114668,0.017829197137265444
genuine_nonseed_candidates,0.55,0.56,114041,0.017731707806283258
genuine_nonseed_candidates,0.56,0.5700000000000001,110291,0.01714863764490654
genuine_nonseed_candidates,0.5700000000000001,0.58,98189,0.015266953620111597
genuine_nonseed_candidates,0.58,0.59,88721,0.013794818076667662
genuine_nonseed_candidates,0.59,0.6,72821,0.011322600592430381
genuine_nonseed_candidates,0.6,0.61,93550,0.014545656959144507
genuine_nonseed_candidates,0.61,0.62,74264,0.011546965990528141
genuine_nonseed_candidates,0.62,0.63,71372,0.011097302282074418
genuine_nonseed_candidates,0.63,0.64,66668,0.010365899071643463
genuine_nonseed_candidates,0.64,0.65,60401,0.009391472217950694
genuine_nonseed_candidates,0.65,0.66,47791,0.007430801621961252
genuine_nonseed_candidates,0.66,0.67,55843,0.00868276987246934
genuine_nonseed_candidates,0.67,0.68,49263,0.007659676095973659
genuine_nonseed_candidates,0.68,0.6900000000000001,45866,0.007131492272454537
genuine_nonseed_candidates,0.6900000000000001,0.7000000000000001,43950,0.0068335822913351265
genuine_nonseed_candidates,0.7000000000000001,0.71,35199,0.0054729297627464195
genuine_nonseed_candidates,0.71,0.72,32116,0.004993568347406574
genuine_nonseed_candidates,0.72,0.73,31168,0.00484616821061054
genuine_nonseed_candidates,0.73,0.74,27675,0.004303057790960173
genuine_nonseed_candidates,0.74,0.75,19887,0.003092137679813007
genuine_nonseed_candidates,0.75,0.76,27796,0.004321871521500596
genuine_nonseed_candidates,0.76,0.77,16774,0.002608111703182148
genuine_nonseed_candidates,0.77,0.78,16456,0.0025586673534974025
genuine_nonseed_candidates,0.78,0.79,13414,0.0020856808385886095
genuine_nonseed_candidates,0.79,0.8,9633,0.0014977906305445113
genuine_nonseed_candidates,0.8,0.81,13469,0.0020942325342888013
genuine_nonseed_candidates,0.81,0.8200000000000001,10335,0.0016069413647542329
genuine_nonseed_candidates,0.8200000000000001,0.8300000000000001,9609,0.0014940589815117004
genuine_nonseed_candidates,0.8300000000000001,0.84,9929,0.0015438143019491802
genuine_nonseed_candidates,0.84,0.85,7827,0.0012169840408254842
genuine_nonseed_candidates,0.85,0.86,8590,0.0013356193829936003
genuine_nonseed_candidates,0.86,0.87,7674,0.0011931947782413143
genuine_nonseed_candidates,0.87,0.88,6167,0.0009588783160560574
genuine_nonseed_candidates,0.88,0.89,4571,0.0007107236553741266
genuine_nonseed_candidates,0.89,0.9,4235,0.0006584805689147727
genuine_nonseed_candidates,0.9,0.91,2957,0.0004597702579175875
genuine_nonseed_candidates,0.91,0.92,2879,0.00044764239856095176
genuine_nonseed_candidates,0.92,0.93,3251,0.0005054829585695221
genuine_nonseed_candidates,0.93,0.9400000000000001,2533,0.0003938444583379266
genuine_nonseed_candidates,0.9400000000000001,0.9500000000000001,1726,0.00026836775960965706
genuine_nonseed_candidates,0.9500000000000001,0.96,1349,0.0002097497727192511
genuine_nonseed_candidates,0.96,0.97,605,9.406865270211039e-05
genuine_nonseed_candidates,0.97,0.98,1286,0.00019995419400812225
genuine_nonseed_candidates,0.98,0.99,422,6.561482882692658e-05
genuine_nonseed_candidates,0.99,1.0,2217,0.00034471107940591526
