population,n,mean,std,min,q05,q10,q25,median,q75,q90,q95,max
all_genuine_nonseed,344870,0.5345334445558516,0.1537370323878311,0.016949152573943138,0.29320689588785187,0.33898305892944336,0.42307692766189575,0.5272727012634277,0.6428571343421936,0.7358490824699402,0.795918345451355,1.0
one_cut_mmp_derivative,43353,0.7078091284025609,0.09658165571974327,0.260869562625885,0.5531914830207825,0.5892857313156128,0.6470588445663452,0.7049180269241333,0.7659574747085571,0.8301886916160583,0.8709677457809448,1.0
scaffold_preserving_non_mmp_analogue,43425,0.5609598760434658,0.13458475489853539,0.1428571492433548,0.3333333432674408,0.38181817531585693,0.46666666865348816,0.5652173757553101,0.6551724076271057,0.7254902124404907,0.7758620977401733,1.0
acyclic_non_mmp_analogue,7555,0.42471634870201525,0.15114257310161947,0.0416666679084301,0.2083333283662796,0.25,0.3199999928474426,0.4038461446762085,0.5135135054588318,0.6285714507102966,0.7037037014961243,1.0
scaffold_changing_analogue,250537,0.5032808936353077,0.14295124311637034,0.016949152573943138,0.28358209133148193,0.32692307233810425,0.4032258093357086,0.49295774102211,0.59375,0.6901408433914185,0.75,1.0
