benchmark_seed_index,source_panel_row,query_position,target_index,target_hash,seed_canonical_smiles,seed_scaffold,seed_heavy_atoms
10,5525,5525,41451,7c1380726be7993cb89ff3b437740cf6af7baba40070f1cde490327b46cc8eea,Cc1cc(N)ncc1Nc1ccc(C(C)C#N)cc1,c1ccc(Nc2cccnc2)cc1,19
11,3019,3019,9874,6c9e60ea9db5a8c046e1761cf1f7241f5435a354ad3464b8bc5c8e02b31cdbd7,COc1cc(OC)c(Nc2ccc(N(C)C)nc2)cc1Cl,c1ccc(Nc2cccnc2)cc1,21
12,2281,2281,12824,01131e2611627ca1f70b9e68275b552220bef91eff8c651f7d34602c15a3eb5b,COC1=C2CCCC(OC)CCC=C(C)C(OC(N)=O)CC=CC=C(C)C(=O)NC(=CC1=O)C2=O,O=C1C=C2CCCCCCC=CCCC=CC=CC(=O)NC(=C1)C2=O,35
13,1093,1093,5381,b29bffb9373f14f2749d3fca797181a8e7c6ae83719fa02c912a155f5fabacee,CCCn1c(SCC(=O)O)nnc1C1C2CCCCC21,c1nnc(C2C3CCCCC32)[nH]1,20
14,1446,1446,3869,ff4d77db4a63b0ff1e63299cec293e40a7a96887201ddf1534032f64d326dc0a,CC1(C)OC2C(CO)C3COC(=O)CC3C2O1,O=C1CC2C(CO1)CC1OCOC12,17
15,9735,9735,44300,b317e72614397cb1102e89a7948756fb4aabdcb1e90548b20c6f3c4a665fabd8,Cc1ccc(CCC2CCN(C(=O)CCNC(=O)c3ccco3)CC2)cc1,O=C(NCCC(=O)N1CCC(CCc2ccccc2)CC1)c1ccco1,27
16,7246,7246,3599,40810d49d29ed2d3ba783185546d580363aed125d965ad569b6ed8b7e58e9f7f,COc1cccnc1-c1ccc(C(=O)NCCCN2CCNC(=O)C2)cc1,O=C1CN(CCCNC(=O)c2ccc(-c3ccccn3)cc2)CCN1,27
17,2549,2549,24792,246916946e29dbb7ccb7cf5c7fd79133ddf196d6e1935568f552a99da07c3b15,Cn1cnc(C(=O)NCC2CCN2C(=O)C23CCC[NH+]2CCC3)n1,O=C(NCC1CCN1C(=O)C12CCC[NH+]1CCC2)c1nc[nH]n1,24
18,2717,2717,37245,4200e48fc704a097e1466f1733aadb950fc39d2407599f94252f4c0085136d70,CCC[NH+]1CCC(CNC(=O)NC2(C(=O)[O-])CCC(CC)CC2)CC1,O=C(NCC1CC[NH2+]CC1)NC1CCCCC1,25
19,605,605,34407,aae650bf361ab71596f201b8cc104fbd8281627ed386d2813316ddd9f6ec8508,COC(C(=O)NC1CCS(=O)(=O)C1)C1CCC1,O=C(CC1CCC1)NC1CCS(=O)(=O)C1,17
20,9473,9473,28725,1f8c74be0034d490d5271029459c55b02e687edb0e57e39e0139240672408656,CCC(NC(=O)CCn1ccc(C)n1)C12CC3CC(CC(C3)C1)C2,O=C(CCn1cccn1)NCC12CC3CC(CC(C3)C1)C2,24
21,4290,4290,32193,3c354d2585c4063f7a9f48b51ffdeadd998f58b5e68a1a9ae0065a2bae2c65c9,CCCn1ncc(C(=O)N2CC3COCC3C2)c1C1CC1,O=C(c1cn[nH]c1C1CC1)N1CC2COCC2C1,21
22,2451,2451,48751,438f77cd1d8323c9072ea695d874467906b6d98475d575cc23a21bb6eb4cee1e,O=C(Cl)Cc1cc2c(n(C3CCCCC3)c1=O)CCC2,O=c1ccc2c(n1C1CCCCC1)CCC2,20
23,3067,3067,47202,3937c4ebe9185fd9276c1fe11936f3e5716796e353611e857a9981d1f77e7808,Cc1[nH]c2ccc(F)cc2c1CCNC(=O)Cc1ccccc1Br,O=C(Cc1ccccc1)NCCc1c[nH]c2ccccc12,24
24,6884,6884,2593,77b692a1bb317276c9b7efabef9c4deb50fc9e156633f99dd9b41097e049bd99,COc1ccccc1C(C)(C)c1noc(CC(NC(C)=O)c2cccs2)n1,c1ccc(Cc2noc(CCc3cccs3)n2)cc1,27
25,8666,8666,4116,3cb353978f72c232d5d8bf927d310ba809c2c391cbca6c2119b3edc099248d6f,O=C(O)CCNC(=O)OC[n+]1cccc(CNC(=O)Nc2ccc(COc3ccccc3-c3ccccc3)cc2)c1,O=C(NCc1ccc[nH+]c1)Nc1ccc(COc2ccccc2-c2ccccc2)cc1,41
26,6867,6867,15155,70425007216e925e9c45fd0ffa9be8d2be3d38595acf9b634ca25ec174449cd1,CCOC(=O)N1CCC(=O)C1C(O)C1OC(C)(C)OC1COCc1ccccc1,O=C1CCNC1CC1OCOC1COCc1ccccc1,29
27,8702,8702,32997,4af20e40898970d6a0810f1b365b3c5da9daa16bee5dd94b3a959192ac5a25ae,Cc1ccc(OC(C)C(=O)N2c3ccncc3CC2C)cc1,O=C(COc1ccccc1)N1CCc2cnccc21,22
28,8515,8515,43651,c4af7c66ae42cfd36fc5fc609708c216717e9e093be2edadb219dbe471435b22,CCn1c(CC2CC2)nnc1N1CCC(N2CC[NH+](C(C)C)CC2)C1,C1CN(C2CCN(c3nnc(CC4CC4)[nH]3)C2)CC[NH2+]1,25
29,6924,6924,11020,a6feb72ed83109858f6b467d928de72d1ff5a94b4a2ad16a6687c79e9ad18d00,COc1ccc(CC(=O)Nc2nnc(-c3cc(C)ccc3C)o2)cc1,O=C(Cc1ccccc1)Nc1nnc(-c2ccccc2)o1,25
30,8497,8497,30195,50ccdd52479d3f9e7d1404ceb7cb1bf6a6c4adf036253d7bcd2d30b5689109bf,O=C(COC(=O)C1CCC(=O)c2ccccc21)NCC1CCN(c2ccccc2)C1,O=C(COC(=O)C1CCC(=O)c2ccccc21)NCC1CCN(c2ccccc2)C1,30
31,7706,7706,21827,9c0fafd3db3baa795b366880d7769cd3a08aed4fe6da3ee00ad140c00ca80da9,CCCCNC(=O)c1cccc(Nc2cnccc2Cl)c1,c1ccc(Nc2cccnc2)cc1,21
32,1064,1064,18722,e5d4d0961b9c677f2bc6f13975de8c443acbbda52cf8e84862875b9ff74d4ab6,CC(C)[NH2+]CC1CCC(NC(=O)CCNC(=O)c2ccco2)CC1,O=C(CCNC(=O)c1ccco1)NC1CCCCC1,24
33,6102,6102,12721,a473cbfe09db30ddb85963403887c951689b04063a5f3cb3b0706577222ada79,COC(OC)C1CCNc2cc(CC(C)(C)C)nn21,c1cc2n(n1)CCCN2,19
34,5315,5315,12573,80d36b60f9c6ca93ad232d743000689682c5ac3806b9be013e44d524d96fa695,COc1ccc(Nc2cc(C#N)cc([N+](=O)[O-])c2)c(C)n1,c1ccc(Nc2cccnc2)cc1,21
35,6543,6543,35167,f37683a912e8ea087084d566ad64d87f51528dedbbd959002602d2cb60a09651,Cc1nnc(CN2CCCN(C(=O)C3(C)CCNC3=O)CC2)o1,O=C1NCCC1C(=O)N1CCCN(Cc2nnco2)CC1,23
36,4868,4868,33910,16c2bb28eadaa4707488acb85f36bcc37a3821d9ecd2592794ea74db9c881457,Cc1nc(N2CC[NH+](C3CCOCC3)CC2C)c2c(CC(C)C)csc2n1,c1nc(N2CC[NH+](C3CCOCC3)CC2)c2ccsc2n1,27
37,5388,5388,36219,e786f2070b3163b5e8f52d4597e35a968ad42a5283de210e072d196984b176e8,CCC1CN(CCNC(=O)NC(C2CCCCC2)C(F)(F)F)CCO1,O=C(NCCN1CCOCC1)NCC1CCCCC1,25
38,6498,6498,19902,d3602b28ce50c6caab970f89c8e572bd4d97d2a6a04f1b592d9f15c0f459ff13,CC(C)S(=O)(=O)N1CCCC(c2ncc3c(n2)CCCC3=O)C1,O=C1CCCc2nc(C3CCCNC3)ncc21,23
39,4800,4800,9412,b456ceb977a06735d2f4269efdbfb4127c9aced9c155dfc79a62f2854687c2ae,C[NH+]1CCCC1C(=O)NCCCOCCNC(=O)C1(C)CC1,O=C(NCCOCCCNC(=O)C1CCC[NH2+]1)C1CC1,22
40,7207,7207,42333,33172ac7c8b8fd95b1636c11b38195d5ec1d13bc3de7e740302fe22fe07d99f6,Nc1ccc(N(CCO)c2cnc(N)cc2C(F)(F)F)cc1,c1ccc(Nc2cccnc2)cc1,22
41,5679,5679,5915,184985e8290d94e803fdf624c1e76f6f049543503533eb4ddcf1f42d2cc6f4c9,CC(Sc1nncn1C)C(=O)N(C)Cc1nc2ccccc2[nH]1,O=C(CSc1nnc[nH]1)NCc1nc2ccccc2[nH]1,23
42,5969,5969,33099,641bba3ab039938b69f18ee2ab11cc45048cc5e0e345d28125843450f6cbeac2,Cc1cc(C)c(CC(=O)NC2CC(C)N(C(=O)c3cnco3)C2)s1,O=C(Cc1cccs1)NC1CCN(C(=O)c2cnco2)C1,24
43,5309,5309,18491,a5c3c7c56c3790e8e92280ee87a4c5177ac2716c35eb9ebe5f0da2a9dff34a7d,CCCn1c(SCC2=C(C(=O)O)N3C(=O)C(N)C3SC2)n[nH]c(=O)c1=O,O=C1CC2SCC(CSc3n[nH]c(=O)c(=O)[nH]3)=CN12,26
44,4151,4151,14530,dbce6b477bf2cf2aac448032e3f8862137bf5618da603b24429a60e325188f96,C=CC(=O)OCC(O)COC(C)(C)C,,14
45,6538,6538,17017,f3002b4852b9af65ae6655a85be999ad100347315ccdcac15736ddb3b9c8cd65,CC1(C)CC(=O)Nc2c(Nc3cccc(C=CC(=O)[O-])c3)cccc21,O=C1CCc2cccc(Nc3ccccc3)c2N1,25
46,598,598,48750,ad43df7d9d032428f16994606b7c7ddac650395724ed989e8a7af50c00f18a43,CCCOc1ccnc(-n2cc(C)c(N)n2)n1,c1cnc(-n2cccn2)nc1,17
47,6855,6855,32094,1eb4c681f09c99d083e1da3722335bca1a0f38f306933bd20546a6d800f80195,COc1ccc2c(c1)CN(C(=O)c1cccc(-n3ccnc3)c1)CC2,O=C(c1cccc(-n2ccnc2)c1)N1CCc2ccccc2C1,25
48,351,351,20969,d1a6d677edc99443b4f3750110117261fe585f875b9fdf8e521d9519970b5dad,CNC(=O)c1ccc(Nc2cc(Br)cnc2Cl)cc1,c1ccc(Nc2cccnc2)cc1,19
49,6198,6198,10937,8b6bbe2b653fc78a1c8f40b793ed0db014d39ce77b7a4462679af865438fd185,COC(=O)C(C)(NC(=O)CC1CN(C(=O)[O-])CCO1)C1CC1,O=C(CC1CNCCO1)NCC1CC1,22
50,4489,4489,14992,e0a0e36bfc51906e28eae08254195d0086f95b0300752bc6fef5baa624fd8464,CSCc1ccc(N2CCCC3(CC[NH+]3Cc3cccc(F)c3)C2)nc1,c1ccc(C[NH+]2CCC23CCCN(c2ccccn2)C3)cc1,26
51,8626,8626,20660,5a94731e49211d0a33d8ee454e69e2be2bc219a725ffb0d91f941e9469effcba,CCCCC(=O)NCC1CC(NC(=O)c2n[nH]c3c2CCCC3)C1,O=C(NC1CCC1)c1n[nH]c2c1CCCC2,24
52,9346,9346,49886,06a22f7a41ec283a4df246323400e6c8ede50a7bb951fd58f89ae993f8062db4,COC(=O)c1cc(Nc2cnc(C)c(N)c2)ccc1Cl,c1ccc(Nc2cccnc2)cc1,20
53,8793,8793,48440,91b9cbc2359c7605e65f3ed57b964806401c1a139e991b76b5cd505335120aee,Cn1c(SCC(=O)NCc2ccccc2)nnc1-c1ccc(O)cc1,O=C(CSc1nnc(-c2ccccc2)[nH]1)NCc1ccccc1,25
54,6315,6315,7451,85f07ee6dc640545dfbfff668366512a681190118d1b2ca156fd3d08b76794ea,C1=CCC(C[NH+]2CC3CCCC3(c3nc(-c4cnccn4)no3)C2)CC1,C1=CCC(C[NH+]2CC3CCCC3(c3nc(-c4cnccn4)no3)C2)CC1,26
55,8430,8430,15499,539eec552f13c20fb039f9253392a6dfad47c31b8edf61c44d4f07b2bbdf92d6,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CC3OCCO3)CC1)C2,O=C1c2ccccc2CC1CC1CCN(CC2OCCO2)CC1,27
56,2224,2224,49369,e613cbc461d3ebca5be2168d31e605c759b4255d6ec978bd7290ff5cdc3ac85b,COCCN1CCN(CC(=O)NC2CC[NH+](C3CC3)CC2)CC1=O,O=C1CN(CC(=O)NC2CC[NH+](C3CC3)CC2)CCN1,24
57,8770,8770,43978,f44f53a7cb8cddbe5c4cc80e6c97c12ec053f92407f4166ca44a1b4e9242f85b,COC(C(=O)N1CCC(C2CCN(C(C)=O)CC2)C1)C(C)C,C1CC(C2CCNC2)CCN1,22
58,1631,1631,9508,46982f151e059a5987ef6a9cb9c7ffe317f17687b04d5422052fbbdb3951dd07,O=C(CCn1cnccc1=O)NCC(=O)Nc1ccc2c(c1)OCCO2,O=C(CCn1cnccc1=O)NCC(=O)Nc1ccc2c(c1)OCCO2,26
59,965,965,12464,8433aaa4b7a25c5662e8a2253279effda0e992281591a07a15afae8c15881b85,CC(C)c1cc([N-]S(=O)(=O)c2ccoc2)no1,O=S(=O)([N-]c1ccon1)c1ccoc1,17
60,5025,5025,36106,3732db871edcb324dca04723feb0c5638603ad603f08a3d0833c8b1e31f3c280,Cn1c(-c2cc3c(s2)C[NH2+]CC3)nc2cc(F)ccc21,c1ccc2[nH]c(-c3cc4c(s3)C[NH2+]CC4)nc2c1,20
61,6962,6962,20514,c3dd9700a64f1d055de9076f344d46903114ef00eb1cf193d8c74b1331d9115b,CCC(Cl)OC(=O)OC1C2(C)CCC(C2)C1(C)C,C1CC2CCC1C2,18
62,5372,5372,33273,dc918ed2dc5add9396014b641df1d38f8683ff559c5f5c8cddb46a037f8001f9,c1cc(CSCCC2CCOCC2)no1,c1cc(CSCCC2CCOCC2)no1,15
63,9663,9663,37323,4bca116ffd3c13da675eb2c2b4c66a73c9e6f44bf9684e5a4bdb1801e06ea625,COc1cnc(C(=O)NCC(C)NC(=O)C2CC23CC3)c(F)c1,O=C(NCCNC(=O)C1CC12CC2)c1ccccn1,23
64,7640,7640,42360,dc85b823c092cc2af536f2dc28dbc3e15751add81373f43967694ce332b66835,COC(=O)C(C)c1ccc(Nc2cnc(SC)c(C)c2)cc1,c1ccc(Nc2cccnc2)cc1,22
65,280,280,18936,5635d171906bb84712fe59b44549465cde8ca41969122692ae2df05db99736e4,CCN(CC)C(=O)c1cc(Nc2cncc(OC)c2)ccc1Cl,c1ccc(Nc2cccnc2)cc1,23
66,1495,1495,37645,eddd1d48b8ab490bb9c67849530dc2f920d0db072891b6e1f96839ccd016b335,C#Cc1cccc(N(C(C)C)S(=O)(=O)c2ccccc2Cn2ccnc2)c1,O=S(=O)(Nc1ccccc1)c1ccccc1Cn1ccnc1,27
67,6431,6431,21738,61c9f366083b5ebc76b3772bdf11e215ec4aa301151469f3a597590e8392d4a0,CC(=O)OCOC(=O)C1=C(COC(N)=O)SC2N1C(=O)C2(Br)C(C)O,O=C1CC2SC=CN12,25
68,8900,8900,47270,566ff01044862392147ee4f452cd410c5c6d71549efdcd1f32524ffd64914cc8,COc1cc(Br)cc(-c2cc(C(=O)O)nn2C)c1OC1CN(C)C1,c1ccc(-c2ccn[nH]2)c(OC2CNC2)c1,24
69,486,486,22752,3c8acc384ce95b3222b6fa8df36e75fe215376a7cb97f09d2e600268e5986c9d,COCc1cc(C(=O)NCC[NH+](C)C2CCCN(C)C2=O)no1,O=C(NCC[NH2+]C1CCCNC1=O)c1ccon1,23
70,2002,2002,36540,9838214a798a069853d1c815bef12ba265689dc059cc78db1b74a84367c38ae7,CC1=C(C(=O)N2CCN(c3cccc(C)c3C)CC2)C2(CCC(C)CC2)OC1=O,O=C1C=C(C(=O)N2CCN(c3ccccc3)CC2)C2(CCCCC2)O1,29
71,1852,1852,38360,e8b1737c0d75fac732777ad4bc750d84f598af5bb4a96f7fe3ab5b098a8e8e88,CC(Cc1cnn(C)c1)C(=O)NC1CCCC(C2CC2)C1,O=C(CCc1cn[nH]c1)NC1CCCC(C2CC2)C1,21
72,1367,1367,47752,22f050267296cff990d24863e7fd4ab1a68cf45c45b4591fd4184239ea1882f6,O=C(NCC1(O)CC[NH+](Cc2cc(F)cc(F)c2)C1)C1CCCC1,O=C(NCC1CC[NH+](Cc2ccccc2)C1)C1CCCC1,24
