space,primary_transformations,primary_queries,alignment_gain,alignment_gain_ci_low,alignment_gain_ci_high,positive_alignment_transformation_fraction,exact_derivative_recall_at_1,exact_derivative_recall_at_1_ci_low,exact_derivative_recall_at_1_ci_high,exact_requested_transform,exact_requested_transform_ci_low,exact_requested_transform_ci_high,sufficiently_powered,viable,pareto,selected_edit_control_space
graph_256,1141,2048,0.8093833442772408,0.798606783209157,0.8199952408202829,1.0,0.9428863569967858,0.9304666958808062,0.9550102249488752,0.9428863569967858,0.9304666958808062,0.9550102249488752,True,True,False,False
mean_node_128,1141,2048,0.9198952267516612,0.9079639626325136,0.9318790565405294,1.0,0.9601226993865029,0.9496019573473562,0.9703476482617588,0.9601226993865029,0.9496019573473562,0.9703476482617588,True,True,True,False
hybrid_w1,1141,2048,0.8379664840368779,0.8278706623551467,0.8482782147857048,1.0,0.9677183756938356,0.9580740578439964,0.97662868828513,0.9677183756938356,0.9580740578439964,0.97662868828513,True,True,False,False
released_hybrid_w3,1141,2048,0.8904332326011308,0.879707627034841,0.9012769573558912,1.0,0.9693251533742328,0.9598305579900672,0.9780893952673094,0.9693251533742328,0.9598305579900672,0.9780893952673094,True,True,True,True
hybrid_w6,1141,2048,0.9101918936067722,0.8986465739752917,0.9216193791990664,1.0,0.9637744668419512,0.953841659363132,0.9734151329243352,0.9637744668419512,0.953841659363132,0.9734151329243352,True,True,True,False
