space,method,queries,transformations,exact_derivative_recall_at_1_pair_mean,exact_derivative_recall_at_1_macro_transform_mean,exact_derivative_recall_at_10_pair_mean,exact_derivative_recall_at_10_macro_transform_mean,reciprocal_rank_within_50_pair_mean,reciprocal_rank_within_50_macro_transform_mean,scaffold_retention_pair_mean,scaffold_retention_macro_transform_mean,mmp_consistency_pair_mean,mmp_consistency_macro_transform_mean,exact_requested_transform_pair_mean,exact_requested_transform_macro_transform_mean,seed_retrieved_tanimoto_pair_mean,seed_retrieved_tanimoto_macro_transform_mean
graph_256,global_covariance,2048,1141,0.2600911458333333,0.24646995812639985,0.5774739583333333,0.568068945369559,0.365319916805583,0.35331731876093864,0.8709309895833333,0.8625474729769208,0.41943359374999994,0.41644756061933974,0.2600911458333333,0.24646995812639985,0.5379135265176107,0.5331012035924422
graph_256,interpolation_0.25,2048,1141,0.43359375,0.42112182296231376,0.83154296875,0.8255915863277826,0.5730790872338543,0.5630474974374916,0.97412109375,0.9712240724510662,0.5986328125,0.5994741454864154,0.43359375,0.42112182296231376,0.6161296225118351,0.6129214584405784
graph_256,interpolation_0.50,2048,1141,0.90283203125,0.8961437335670465,0.99560546875,0.9957639497516797,0.9419492432964842,0.9373601562069078,0.98583984375,0.9779433245690914,0.935546875,0.9329535495179667,0.90283203125,0.8961437335670465,0.6876374719954477,0.6824420304332371
graph_256,interpolation_0.75,2048,1141,1.0,1.0,1.0,1.0,1.0,1.0,0.986328125,0.9782354659655274,1.0,1.0,1.0,1.0,0.7009417364430224,0.6964575498707976
graph_256,interpolation_1.00,2048,1141,1.0,1.0,1.0,1.0,1.0,1.0,0.986328125,0.9782354659655274,1.0,1.0,1.0,1.0,0.7009417364430224,0.6964575498707976
graph_256,isotropic,2048,1141,0.2701822916666667,0.25430908559742915,0.6201171875,0.6128639594897264,0.38831680387089473,0.3743863855460694,0.93408203125,0.9319797448631805,0.4519856770833333,0.4486318044600253,0.2701822916666667,0.25430908559742915,0.5681698450221934,0.5647039044407691
graph_256,local_covariance,2048,1141,0.24104817708333331,0.23006134969325154,0.533203125,0.5232739312493914,0.33768157763819084,0.3260906941895405,0.8037109375,0.7954523322621482,0.37613932291666663,0.37243159022300126,0.24104817708333331,0.23006134969325154,0.4982881083185148,0.49320169303930744
graph_256,mismatched_mmp_direction,2048,1141,0.26513671875,0.2581069237510955,0.56884765625,0.558282208588957,0.3662406356299267,0.35764878155166485,0.86279296875,0.8588957055214724,0.41650390625,0.41659363131755767,0.26513671875,0.2581069237510955,0.5287943352421348,0.5251698391213113
graph_256,mmp_direction,2048,1141,0.943359375,0.9428863569967866,0.99267578125,0.9926964650891031,0.9624441523916623,0.9618769468188838,0.98486328125,0.9770669003797839,0.9541015625,0.9525270230791703,0.943359375,0.9428863569967866,0.6883616491819321,0.6840158632319806
graph_256,seed_nn,2048,1141,0.27685546875,0.2589833479404032,0.634765625,0.6272275781478235,0.39570794220794486,0.380988110463013,0.943359375,0.9404031551270815,0.45947265625,0.4542798714577855,0.27685546875,0.2589833479404032,0.5743050453692153,0.5701626437215394
hybrid_w1,global_covariance,2048,1141,0.2757161458333333,0.2633654688869413,0.6175130208333334,0.6073132729574446,0.3898560549707251,0.3775804576110666,0.8995768229166666,0.8932223196026877,0.4427083333333333,0.44415230304800857,0.2757161458333333,0.2633654688869413,0.5510382495440136,0.5472944163717406
hybrid_w1,interpolation_0.25,2048,1141,0.4638671875,0.44902132632193975,0.85595703125,0.8521764534034472,0.6029397318338072,0.59093986641434,0.98291015625,0.9798422436459246,0.6298828125,0.6316096990943617,0.4638671875,0.44902132632193975,0.6259317477213021,0.6227662277636478
hybrid_w1,interpolation_0.50,2048,1141,0.9111328125,0.9037394098743791,0.994140625,0.9931346771837568,0.9467494790907877,0.9417393607950137,0.986328125,0.9782354659655274,0.94482421875,0.9398188723342097,0.9111328125,0.9037394098743791,0.6897779408653806,0.684222791223012
hybrid_w1,interpolation_0.75,2048,1141,1.0,1.0,1.0,1.0,1.0,1.0,0.986328125,0.9782354659655274,1.0,1.0,1.0,1.0,0.7009417364430224,0.6964575498707976
hybrid_w1,interpolation_1.00,2048,1141,1.0,1.0,1.0,1.0,1.0,1.0,0.986328125,0.9782354659655274,1.0,1.0,1.0,1.0,0.7009417364430224,0.6964575498707976
hybrid_w1,isotropic,2048,1141,0.29638671875,0.28162430616418344,0.6767578125,0.6669588080631026,0.4214903636212324,0.4082004736932489,0.9519856770833334,0.9505307235368586,0.4820963541666667,0.48140033109358266,0.29638671875,0.28162430616418344,0.5805706160344495,0.5775887394946362
hybrid_w1,local_covariance,2048,1141,0.2513020833333333,0.23760833576784496,0.5662434895833334,0.5544843704352908,0.35569064128744987,0.3421334788656318,0.8414713541666667,0.8369851007887817,0.39680989583333337,0.3905930470347648,0.2513020833333333,0.23760833576784496,0.5142301900171374,0.5086134106642761
hybrid_w1,mismatched_mmp_direction,2048,1141,0.28662109375,0.27768039731229915,0.61865234375,0.6079462459830558,0.3966506603078449,0.38650515114387796,0.88916015625,0.8851884312007011,0.44580078125,0.446099912357581,0.28662109375,0.27768039731229915,0.5465749918472969,0.5435750902628642
hybrid_w1,mmp_direction,2048,1141,0.96923828125,0.9677183756938357,0.9970703125,0.9962021618463337,0.9803953018552628,0.979222274949707,0.986328125,0.9782354659655274,0.9736328125,0.97166228454572,0.96923828125,0.9677183756938357,0.6948655838206533,0.6901760310253181
hybrid_w1,seed_nn,2048,1141,0.29736328125,0.28308501314636286,0.681640625,0.6711948583114228,0.42416743933118417,0.4109373340504865,0.9560546875,0.9541338007595676,0.48291015625,0.48364008179959095,0.29736328125,0.28308501314636286,0.5838677574159192,0.5815360819388846
hybrid_w6,global_covariance,2048,1141,0.27897135416666663,0.2654104586619924,0.6160481770833333,0.6016165157269451,0.3898700613470194,0.3762199959771143,0.8728841145833334,0.8652741260103223,0.43473307291666663,0.4302268964845652,0.27897135416666663,0.2654104586619924,0.5342260309085483,0.5287828938875787
hybrid_w6,interpolation_0.25,2048,1141,0.4853515625,0.46581945661700264,0.86279296875,0.8507157464212679,0.6190184418602536,0.6026801900206942,0.9833984375,0.9791118901548348,0.646484375,0.6368682442302074,0.4853515625,0.46581945661700264,0.6278937398885198,0.6219593894515115
hybrid_w6,interpolation_0.50,2048,1141,0.8759765625,0.8682442302074204,0.9892578125,0.9872918492550394,0.9229093039658216,0.9168936855841624,0.986328125,0.9782354659655274,0.9150390625,0.9078293894244814,0.8759765625,0.8682442302074204,0.6831347212634562,0.6769076542021133
hybrid_w6,interpolation_0.75,2048,1141,0.9951171875,0.9941571720712824,1.0,1.0,0.9974772135416667,0.9969325153374233,0.986328125,0.9782354659655274,0.9951171875,0.9941571720712824,0.9951171875,0.9941571720712824,0.699924934086655,0.6953470798639967
hybrid_w6,interpolation_1.00,2048,1141,1.0,1.0,1.0,1.0,1.0,1.0,0.986328125,0.9782354659655274,1.0,1.0,1.0,1.0,0.7009417364430224,0.6964575498707976
hybrid_w6,isotropic,2048,1141,0.3154296875,0.29881195832116075,0.6941731770833333,0.6808842146265459,0.4421093996794807,0.42697235174825704,0.95458984375,0.9525270230791703,0.4990234375,0.49547180835524385,0.3154296875,0.29881195832116075,0.583045992755981,0.578806886788621
hybrid_w6,local_covariance,2048,1141,0.2587890625,0.24486318044600255,0.5826822916666666,0.5707955984029603,0.36574527402534396,0.35214579137180235,0.8318684895833333,0.8250559937676502,0.3984375,0.3906904275002435,0.2587890625,0.24486318044600255,0.5081807163100689,0.5019914211697473
hybrid_w6,mismatched_mmp_direction,2048,1141,0.2998046875,0.2880514168857727,0.62451171875,0.6155419222903885,0.4072400434545296,0.3958779150337725,0.8662109375,0.8555360794624599,0.439453125,0.4348524685947999,0.2998046875,0.2880514168857727,0.5334755930007262,0.526618272681921
hybrid_w6,mmp_direction,2048,1141,0.96533203125,0.9637744668419513,0.9990234375,0.9988314344142566,0.9798437896537007,0.9791635487123941,0.986328125,0.9782354659655274,0.9736328125,0.971954425942156,0.96533203125,0.9637744668419513,0.6946011939423986,0.6892922627077306
hybrid_w6,seed_nn,2048,1141,0.3232421875,0.306018112766579,0.69970703125,0.6875547765118317,0.4491048485735659,0.43360302680069496,0.9619140625,0.9609991235758107,0.5078125,0.5037978381536664,0.3232421875,0.306018112766579,0.587267511203547,0.5831569243076887
mean_node_128,global_covariance,2048,1141,0.27018229166666663,0.2580582335183562,0.6072591145833333,0.5953354757035738,0.38294414235284385,0.37032233470374454,0.8582356770833333,0.851202648748661,0.42350260416666663,0.4195150452819164,0.27018229166666663,0.2580582335183562,0.5278210047162991,0.5226863641007697
mean_node_128,interpolation_0.25,2048,1141,0.4765625,0.4566170026292726,0.85498046875,0.8425357873210634,0.6114848270373172,0.5949307066742564,0.98095703125,0.9763365468886941,0.63720703125,0.6275197195442594,0.4765625,0.4566170026292726,0.625299425249901,0.6188762125100132
mean_node_128,interpolation_0.50,2048,1141,0.86181640625,0.8526146654981012,0.986328125,0.9839322231960267,0.9136215173251627,0.9067070734977752,0.986328125,0.9782354659655274,0.90576171875,0.8981887233420975,0.86181640625,0.8526146654981012,0.6805237541554396,0.6742989350314588
mean_node_128,interpolation_0.75,2048,1141,0.99365234375,0.9931346771837568,1.0,1.0,0.9967447916666667,0.9964212678936606,0.986328125,0.9782354659655274,0.994140625,0.9934268185801928,0.99365234375,0.9931346771837568,0.6997461823565172,0.6952401317064384
mean_node_128,interpolation_1.00,2048,1141,1.0,1.0,1.0,1.0,1.0,1.0,0.986328125,0.9782354659655274,1.0,1.0,1.0,1.0,0.7009417364430224,0.6964575498707976
