analysis,space,transform,train_cores,support_tier,alignment_mean,alignment_count,null_alignment_mean,null_alignment_count,alignment_gain_mean,alignment_gain_count
alignment_all,graph_256,Br[*:1]>>COC(=O)[*:1],16,10-19,0.8736248810080214,8,-0.04414061787957415,8,0.9177654988875956,8
alignment_all,graph_256,Br[*:1]>>COC[*:1],7,5-9,0.9242299972407352,1,-0.24395368112557625,1,1.1681836783663115,1
alignment_all,graph_256,Br[*:1]>>CO[*:1],40,20+,0.8622875242470914,15,0.02136160767356669,15,0.8409259165735247,15
alignment_all,graph_256,Br[*:1]>>CS(=O)(=O)[*:1],2,2-4,0.8625707987524406,3,0.014800208982091556,3,0.847770589770349,3
alignment_all,graph_256,Br[*:1]>>CS[*:1],8,5-9,0.9603280873653124,2,0.02900939304154697,2,0.9313186943237655,2
alignment_all,graph_256,Br[*:1]>>C[*:1],83,20+,0.9010047493440422,32,0.0819290444436877,32,0.8190757049003544,32
alignment_all,graph_256,Br[*:1]>>Cl[*:1],92,20+,0.9313774183863868,26,0.026962362322332747,26,0.9044150560640539,26
alignment_all,graph_256,Br[*:1]>>FC(F)(F)O[*:1],7,5-9,0.9469543315987871,3,-0.08542943152498884,3,1.032383763123776,3
alignment_all,graph_256,Br[*:1]>>FC(F)(F)[*:1],24,20+,0.89216622133962,5,-0.1062528033241668,5,0.998419024663787,5
alignment_all,graph_256,Br[*:1]>>FC(F)O[*:1],7,5-9,0.8890336378648724,3,0.009587416928239617,3,0.8794462209366328,3
alignment_all,graph_256,Br[*:1]>>FC(F)[*:1],5,5-9,0.8173083491802626,2,0.08004382217916901,2,0.7372645270010936,2
alignment_all,graph_256,Br[*:1]>>F[*:1],74,20+,0.9329525674608407,25,0.04148480372036408,25,0.8914677637404764,25
alignment_all,graph_256,Br[*:1]>>I[*:1],17,10-19,0.9472834976659655,3,-0.09102772539451671,3,1.0383112230604823,3
alignment_all,graph_256,Br[*:1]>>N#C[*:1],17,10-19,0.8869807324163959,9,-0.042638547492284844,9,0.9296192799086805,9
alignment_all,graph_256,Br[*:1]>>NC(=O)[*:1],5,5-9,0.925424618121741,1,0.06354469989026833,1,0.8618799182314727,1
alignment_all,graph_256,Br[*:1]>>NS(=O)(=O)[*:1],2,2-4,0.723672462730689,1,-0.00346081522407677,1,0.7271332779547658,1
alignment_all,graph_256,Br[*:1]>>N[*:1],22,20+,0.7893040146726221,4,0.06719054546091383,4,0.7221134692117083,4
alignment_all,graph_256,Br[*:1]>>O=C(O)[*:1],12,10-19,0.7749531170081383,2,-0.1977020084523992,2,0.9726551254605375,2
alignment_all,graph_256,Br[*:1]>>O=[N+]([O-])[*:1],38,20+,0.9025365693517311,11,0.04914256509169456,11,0.8533940042600364,11
alignment_all,graph_256,Br[*:1]>>OC[*:1],7,5-9,0.8635918887479699,3,-0.07327856940561582,3,0.9368704581535856,3
alignment_all,graph_256,Br[*:1]>>O[*:1],24,20+,0.8094230965722199,7,-0.04901534949185004,7,0.8584384460640698,7
alignment_all,graph_256,Br[*:1]>>S[*:1],2,2-4,0.8397444896926186,1,0.07421085875062228,1,0.7655336309419963,1
alignment_all,graph_256,Brc1ccc(C[*:1])cc1>>Fc1ccccc1C[*:1],3,2-4,0.9554855465471546,3,-0.09824390154790126,3,1.0537294480950559,3
alignment_all,graph_256,Brc1ccc(C[*:1])s1>>Clc1ccc(C[*:1])s1,2,2-4,0.9290100405978938,1,-0.11484486451575238,1,1.0438549051136463,1
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Brc1cccc([*:1])c1,7,5-9,0.6866323205235411,3,-0.15059149066027286,3,0.8372238111838138,3
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Brc1ccccc1[*:1],2,2-4,0.8263357422263511,1,-0.14792796924886292,1,0.974263711475214,1
alignment_all,graph_256,Brc1ccc([*:1])cc1>>CCOc1ccc([*:1])cc1,2,2-4,0.9147868923971402,1,-0.24112771165815272,1,1.155914604055293,1
alignment_all,graph_256,Brc1ccc([*:1])cc1>>COc1ccc([*:1])cc1,4,2-4,0.7901495304431343,6,0.054801849781526496,6,0.7353476806616076,6
alignment_all,graph_256,Brc1ccc([*:1])cc1>>COc1cccc([*:1])c1,4,2-4,0.9310429912750118,4,-0.009036403952188,4,0.9400793952271999,4
alignment_all,graph_256,Brc1ccc([*:1])cc1>>COc1ccccc1[*:1],2,2-4,0.9569984827108254,1,-0.18227159025026327,1,1.1392700729610887,1
alignment_all,graph_256,Brc1ccc([*:1])cc1>>CSc1ccc([*:1])cc1,4,2-4,0.972724872268765,1,-0.09029778510815473,1,1.0630226573769197,1
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Cc1ccc([*:1])cc1,9,5-9,0.940382630367597,4,0.1070611051233342,4,0.8333215252442627,4
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Cc1cccc([*:1])c1,10,10-19,0.9115655519397,3,0.3344240752868126,3,0.5771414766528873,3
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Cc1ccccc1[*:1],3,2-4,0.8790999990907413,1,-0.6401400526154615,1,1.5192400517062028,1
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Clc1ccc([*:1])cc1,4,2-4,0.9301980179946799,5,0.036145142634945185,5,0.8940528753597347,5
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Clc1ccc([*:1])cc1Cl,2,2-4,0.8883504295703503,3,0.016883588832554225,3,0.871466840737796,3
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Clc1cccc([*:1])c1,6,5-9,0.9154727936907978,5,-0.005488824229120138,5,0.9209616179199178,5
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Clc1ccccc1[*:1],6,5-9,0.9006413020300683,2,-0.021025615062517045,2,0.9216669170925853,2
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Fc1ccc([*:1])c(F)c1,3,2-4,0.9533901551671182,2,0.010740382809231144,2,0.9426497723578872,2
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Fc1ccc([*:1])cc1,11,10-19,0.9427034873557454,3,0.0868405155206206,3,0.8558629718351248,3
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Fc1ccc([*:1])cc1Cl,2,2-4,0.8971746947297184,3,-0.018097851516759123,3,0.9152725462464776,3
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Fc1cccc(F)c1[*:1],3,2-4,0.9452427376815583,2,0.05756997606099636,2,0.887672761620562,2
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Fc1cccc([*:1])c1,4,2-4,0.9333759227904964,6,-0.038408054348026195,6,0.9717839771385227,6
alignment_all,graph_256,Brc1ccc([*:1])cc1>>Fc1ccccc1[*:1],6,5-9,0.9555851943506516,6,0.035839001335132306,6,0.9197461930155192,6
alignment_all,graph_256,Brc1ccc([*:1])cc1>>N#Cc1cccc([*:1])c1,2,2-4,0.928938035012781,1,-0.13775159255877,1,1.066689627571551,1
alignment_all,graph_256,Brc1ccc([*:1])cc1>>O=[N+]([O-])c1ccc([*:1])cc1,2,2-4,0.905053561187918,1,-0.025409514219031586,1,0.9304630754069496,1
alignment_all,graph_256,Brc1ccc([*:1])cc1>>c1ccc([*:1])cc1,3,2-4,0.935144830142722,2,0.2201854222335814,2,0.7149594079091406,2
