strategy,budget,metric,estimate,ci_lower,ci_upper,confidence_level,bootstrap_resamples,unit,denominator
hybrid_b500_s500_t120,100,exact_seed_oracle_recall_at_budget,0.9355,0.9307,0.9403,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,100,reranked_valid_top1_rate,1.0,1.0,1.0,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,100,reranked_exact_seed_identity_at_1,0.9355,0.9307,0.9403,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,100,rerank_selection_efficiency_given_oracle_presence,1.0,1.0,1.0,0.95,2000,fraction,seeds with exact seed present in accepted candidate prefix
hybrid_b500_s500_t120,100,reranked_identity_gain_over_greedy,0.3041,0.2952,0.3133025,0.95,2000,fraction_point,all seeds
hybrid_b500_s500_t120,100,reranked_seed_scaffold_recovery,0.9569,0.9529,0.9608,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,100,reranked_mean_morgan_to_seed,0.9746234113007783,0.9725265955261141,0.9767095633206144,0.95,2000,similarity,all seeds
hybrid_b500_s500_t120,100,reranked_conditional_mean_morgan_to_seed,0.9746234113007783,0.9725265955261141,0.9767095633206144,0.95,2000,similarity,available selected top-1 candidates
hybrid_b500_s500_t120,100,reranked_mean_latent_l2,0.30049446727409956,0.2747488380698627,0.32657787079793854,0.95,2000,distance,available selected top-1 candidates
hybrid_b500_s500_t120,100,reranked_mean_latent_relative_l2,0.0074139457712182775,0.0068107895762141565,0.008021111204405242,0.95,2000,relative_distance,available selected top-1 candidates
hybrid_b500_s500_t120,100,reranked_mean_latent_cosine,0.9994927916347981,0.9994185982388257,0.9995626115591824,0.95,2000,cosine,available selected top-1 candidates
hybrid_b500_s500_t120,250,raw_token_decode_fraction,1.0,1.0,1.0,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,raw_rdkit_valid_fraction,0.7733307999999999,0.771003,0.77589085,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,raw_policy_acceptance_fraction,0.7732256,0.7708973100000001,0.77577866,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,unique_identity_yield_per_raw_slot,0.27159000000000005,0.2691256,0.2741827,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,mean_unique_accepted_identities,67.8975,67.28139999999999,68.54567499999999,0.95,2000,count,all seeds
hybrid_b500_s500_t120,250,candidate_availability_rate,1.0,1.0,1.0,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,greedy_rdkit_valid_top1_rate,0.9716,0.9683,0.9748,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,greedy_policy_accepted_top1_rate,0.9716,0.9683,0.9748,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,greedy_exact_seed_identity_at_1,0.6314,0.6219,0.6407,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,greedy_seed_scaffold_recovery,0.7361,0.7276,0.7444,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,greedy_mean_morgan_to_seed,0.8434925766810775,0.8386715481976047,0.8483480171367899,0.95,2000,similarity,all seeds
hybrid_b500_s500_t120,250,greedy_conditional_mean_morgan_to_seed,0.8681479792929987,0.8641115163219677,0.8725443170853037,0.95,2000,similarity,policy-accepted greedy top-1 candidates
hybrid_b500_s500_t120,250,generator_order_valid_top1_rate,1.0,1.0,1.0,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,generator_order_exact_seed_identity_at_1,0.6493,0.6398975,0.659,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,generator_order_seed_scaffold_recovery,0.7564,0.7481,0.7644,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,generator_order_mean_morgan_to_seed,0.8682286110106856,0.864176884039417,0.8723560171128623,0.95,2000,similarity,all seeds
hybrid_b500_s500_t120,250,generator_order_conditional_mean_morgan_to_seed,0.8682286110106856,0.864176884039417,0.8723560171128623,0.95,2000,similarity,available generator-order top-1 candidates
hybrid_b500_s500_t120,250,exact_seed_oracle_recall_at_budget,0.9486,0.9441,0.9528025,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,reranked_valid_top1_rate,1.0,1.0,1.0,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,reranked_exact_seed_identity_at_1,0.9486,0.9441,0.9528025,0.95,2000,fraction,all seeds
hybrid_b500_s500_t120,250,rerank_selection_efficiency_given_oracle_presence,1.0,1.0,1.0,0.95,2000,fraction,seeds with exact seed present in accepted candidate prefix
