space,method,queries,rows_including_replicates,median_nonzero_target_rank_within_50,target_recall_at_1_mean,target_recall_at_1_ci_low,target_recall_at_1_ci_high,target_recall_at_10_mean,target_recall_at_10_ci_low,target_recall_at_10_ci_high,target_recall_at_50_mean,target_recall_at_50_ci_low,target_recall_at_50_ci_high,top1_morgan_tanimoto_to_seed_mean,top1_morgan_tanimoto_to_seed_ci_low,top1_morgan_tanimoto_to_seed_ci_high,top1_morgan_tanimoto_to_true_target_mean,top1_morgan_tanimoto_to_true_target_ci_low,top1_morgan_tanimoto_to_true_target_ci_high,top1_same_scaffold_as_seed_mean,top1_same_scaffold_as_seed_ci_low,top1_same_scaffold_as_seed_ci_high,top1_single_cut_mmp_to_seed_mean,top1_single_cut_mmp_to_seed_ci_low,top1_single_cut_mmp_to_seed_ci_high,top1_absolute_heavy_atom_delta_mean,top1_absolute_heavy_atom_delta_ci_low,top1_absolute_heavy_atom_delta_ci_high,top1_descriptor_rms_from_seed_mean,top1_descriptor_rms_from_seed_ci_low,top1_descriptor_rms_from_seed_ci_high,top1_descriptor_progress_to_true_target_mean,top1_descriptor_progress_to_true_target_ci_low,top1_descriptor_progress_to_true_target_ci_high,top1_latent_progress_to_true_target_mean,top1_latent_progress_to_true_target_ci_low,top1_latent_progress_to_true_target_ci_high,top10_mean_morgan_tanimoto_to_seed_mean,top10_mean_morgan_tanimoto_to_seed_ci_low,top10_mean_morgan_tanimoto_to_seed_ci_high,top10_same_scaffold_fraction_mean,top10_same_scaffold_fraction_ci_low,top10_same_scaffold_fraction_ci_high,top10_single_cut_mmp_fraction_mean,top10_single_cut_mmp_fraction_ci_low,top10_single_cut_mmp_fraction_ci_high
graph_256,global_covariance,227,681,2.0,0.381791483113069,0.32892804698972095,0.43612334801762115,0.7209985315712188,0.6651615271659324,0.776798825256975,0.8502202643171806,0.8091042584434655,0.89284140969163,0.6085142471934977,0.5847927234334176,0.6306702807083385,0.6583575246574757,0.622803484328781,0.6915114965977567,0.9177679882525698,0.8869309838472835,0.9427312775330396,0.5389133627019089,0.4845814977973568,0.593245227606461,0.9148311306901616,0.8237885462555066,1.014684287812041,0.2415867249681037,0.22112334873944609,0.2632425044702117,0.3994176913975274,0.336420739545082,0.4582860076982491,0.4366563901635606,0.38264589042172464,0.4908055252255832,0.39125003874553327,0.3795919667717228,0.40209055849451564,0.6666666666666667,0.6206975036710719,0.7108737151248165,0.1483113069016153,0.13332599118942734,0.16343612334801766
graph_256,interpolation_0.25,227,227,1.0,0.5638766519823789,0.4977973568281938,0.6299559471365639,0.8898678414096917,0.8502202643171806,0.9295154185022027,0.9691629955947136,0.9427312775330396,0.9911894273127754,0.6800997501037584,0.6589413067359422,0.7000544540751948,0.7799169941495364,0.743834666024873,0.8136142295953493,0.973568281938326,0.9515418502202643,0.9911894273127754,0.7224669603524229,0.6607929515418502,0.7797356828193832,0.8325991189427313,0.7355726872246696,0.933920704845815,0.22679451646347074,0.20670657192176758,0.24891935015819325,0.5916005757815276,0.531446963835516,0.6508303706458728,0.6165768371698196,0.5594003630470571,0.6745506254596955,0.41272912647596716,0.4021919472586004,0.4242321769473892,0.7101321585903083,0.6634030837004404,0.7515528634361235,0.17665198237885466,0.16166299559471367,0.1933920704845815
graph_256,interpolation_0.50,227,227,1.0,0.9647577092511013,0.9383259911894273,0.986784140969163,1.0,1.0,1.0,1.0,1.0,1.0,0.7443201115724158,0.732182504446189,0.7554698089522649,0.9838175511029655,0.9716903275999724,0.9944279934450695,0.9955947136563876,0.986784140969163,1.0,0.9779735682819384,0.960352422907489,0.9955947136563876,1.13215859030837,1.0088105726872247,1.2643171806167401,0.3758433781792491,0.33968552062347956,0.41174661579029515,0.9777144087903057,0.959601009675598,0.9928298700161398,0.9779113852624367,0.9621732255437054,0.9921731341217966,0.41337716868346724,0.40278181998924106,0.4246005697441901,0.714977973568282,0.671784140969163,0.7616740088105726,0.18722466960352424,0.17090308370044055,0.20485682819383266
graph_256,interpolation_0.75,227,227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7508236244079556,0.740757567357885,0.7602277549084934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1894273127753303,1.066079295154185,1.3128854625550659,0.3882052769783454,0.352093719789297,0.4237264842788887,1.0,1.0,1.0,1.0,1.0,1.0,0.398631775502798,0.3868345030552496,0.4096842743837216,0.7044052863436124,0.6607929515418502,0.7475881057268722,0.1744493392070485,0.16034140969163,0.18942731277533043
graph_256,interpolation_1.00,227,227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7508236244079556,0.7412669436532824,0.7606030111318741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1894273127753303,1.0572687224669604,1.3127753303964758,0.3882052769783454,0.3534452025529886,0.42517682033706394,1.0,1.0,1.0,1.0,1.0,1.0,0.38818325319555724,0.37633810604448936,0.399798980110462,0.6881057268722467,0.645352422907489,0.7295154185022025,0.16475770925110134,0.15286343612334807,0.17841409691629956
graph_256,isotropic,227,681,2.0,0.3891336270190896,0.32599118942731276,0.4449706314243759,0.7430249632892805,0.6857562408223202,0.7944199706314243,0.8693098384728339,0.8252569750367106,0.9074889867841409,0.6351948130870786,0.6105720768731425,0.6563714819586777,0.68116038231672,0.6413869012658872,0.7168714674376324,0.9530102790014685,0.9265418502202641,0.9779735682819384,0.566813509544787,0.5066079295154186,0.6270190895741555,0.7767988252569751,0.6901615271659324,0.8722834067547723,0.20562175193127546,0.18892582557624563,0.22456522170573945,0.4188234352995835,0.34890951701129863,0.4807980843794111,0.4480248915111069,0.38949249448567036,0.5065808580639706,0.40137886111556903,0.38957480889129664,0.413468376292882,0.6939794419970632,0.6516740088105727,0.7355359765051394,0.1562408223201175,0.1405286343612335,0.17181350954478714
graph_256,local_covariance,227,681,2.0,0.36123348017621143,0.31127019089574154,0.41409691629955947,0.6842878120411159,0.6240455212922174,0.737151248164464,0.8046989720998532,0.7562408223201175,0.8487518355359764,0.5807597840907981,0.5575055808195492,0.6037463237523285,0.6304002981445725,0.5951956308566474,0.6653509412597662,0.8766519823788547,0.84287812041116,0.908957415565345,0.49339207048458145,0.4375917767988252,0.5462922173274596,1.0117474302496328,0.908920704845815,1.1263215859030837,0.26068492412720934,0.23853599850262266,0.28286334663468843,0.39288749967777725,0.33745770922349955,0.45059906619837736,0.4185628451758289,0.36911828465365604,0.47335201481944167,0.3785287708167752,0.3672193340184459,0.3902382707699986,0.6372980910425844,0.5922136563876652,0.6820851688693098,0.1352422907488987,0.12290381791483114,0.1478744493392071
graph_256,mmp_direction,227,227,1.0,0.9295154185022027,0.8942731277533039,0.960352422907489,0.973568281938326,0.9515418502202643,0.9911894273127754,0.9955947136563876,0.986784140969163,1.0,0.7373627236262138,0.7233341240571638,0.7505739633765631,0.9641136902170174,0.944758185024567,0.9803672030222296,0.9955947136563876,0.986784140969163,1.0,0.947136563876652,0.9162995594713657,0.973568281938326,1.1629955947136563,1.0352422907488987,1.2908590308370043,0.36034663885802315,0.32874828442995657,0.3941247416864871,0.9582170990279996,0.9297319434945465,0.9865804343198291,0.9548775836008643,0.9299847020233333,0.9774821599272848,0.3937083083492478,0.3828877750852649,0.40465637331628346,0.6876651982378855,0.6422907488986784,0.733491189427313,0.16563876651982382,0.15242290748898682,0.17929515418502207
graph_256,seed_nn,227,227,2.0,0.4052863436123348,0.3436123348017621,0.4669603524229075,0.748898678414097,0.6960352422907489,0.7974669603524228,0.8810572687224669,0.8370044052863436,0.920704845814978,0.6436596850561398,0.6211170008213505,0.6678821384616543,0.6931414338659591,0.656204543129572,0.7275769446243993,0.960352422907489,0.9295154185022027,0.9823788546255506,0.5859030837004405,0.5198237885462555,0.6431718061674009,0.7665198237885462,0.6696035242290749,0.8634361233480177,0.20385734956216342,0.1856244255185014,0.22274524288757105,0.4389294185770265,0.3732875955235635,0.5120343871764157,0.459191979088599,0.4031791030286012,0.5199058616655042,0.40353975827077126,0.39197876998319625,0.4149621636086245,0.7000000000000002,0.6559471365638767,0.741420704845815,0.15947136563876654,0.14490088105726873,0.17490088105726875
mean_node_128,global_covariance,227,681,2.0,0.3876651982378855,0.33480176211453744,0.44350220264317175,0.7679882525697505,0.7151248164464022,0.8135095447870779,0.8737151248164464,0.8399412628487518,0.908957415565345,0.6028707747677219,0.5792114377479759,0.6290032165234917,0.6649896266201819,0.6310914006343861,0.6995213036692746,0.9104258443465493,0.8810572687224669,0.9412628487518355,0.5491923641703378,0.49486049926578557,0.6020558002936859,1.1688693098384728,1.013215859030837,1.3318649045521291,0.31857385027733276,0.2898772101350245,0.3493725148017817,0.48101202640428037,0.4133743340833591,0.5497489022303915,0.44922419355296883,0.39488024063192173,0.5030856221641358,0.3908538574916439,0.3796428638197524,0.4026689069753805,0.6604992657856095,0.6198164464023495,0.7052863436123348,0.15447870778267256,0.14038179148311308,0.16886930983847284
