space,validation_pairs,transformations,pair_weighted_alignment_mean,pair_weighted_alignment_ci_low,pair_weighted_alignment_ci_high,pair_weighted_alignment_median,pair_weighted_null_mean,pair_weighted_null_ci_low,pair_weighted_null_ci_high,pair_weighted_null_median,transform_weighted_alignment_mean,transform_weighted_null_mean
graph_256,685,21,0.6547569251671471,0.6438255058390713,0.6655692882776721,0.6637459619108894,0.03829652482203012,0.021463563313681516,0.05499067142683807,0.017695616515172603,0.7188534818836666,0.011971724715835694
mean_node_128,685,21,0.8251046377203846,0.8154049269615871,0.8346263704006274,0.8324337531331015,0.04940446908364618,0.02546494863795377,0.0708648353483623,0.02646603577228558,0.8835013118842282,0.028595807620323342
hybrid_384,685,21,0.695908736619543,0.6859515017435972,0.7063340124488527,0.6992150238821719,0.059216571605815116,0.041685899965346274,0.077681875324644,0.028007184440223164,0.7598379575728638,0.026083506725165864
