space,seeds,nearest_train_distance_median,normalized_nearest_train_distance_median,local_effective_rank_median,local_participation_ratio_median,local_components_90pct_median,local_top_eigenvalue_fraction_median
graph_256,512,9.143620014190674,0.5714762508869171,23.214352762927625,15.544485369259768,22.0,0.14150583408233944
mean_node_128,512,5.360012769699097,0.47376267208758993,17.68710318791732,12.658391226918106,16.0,0.15759159135300987
hybrid_384,512,11.172183513641357,0.5701281025240799,22.87111889469947,15.307182847725088,21.0,0.14102400947130925
