space,dimensions,effective_rank,participation_ratio,top_eigenvalue_fraction,variance_top_10,variance_top_30,variance_top_50,components_90pct,components_95pct,effective_rank_fraction,median_coordinate_std
graph_256,256,40.96946461736384,24.503661464516956,0.09682834360173577,0.5579749817415358,0.8504860023878332,0.9335002974835998,40,59,0.1600369711615775,0.9999918937683105
mean_node_128,128,23.540201720577947,17.073931624892953,0.11876054192897564,0.6644877083592353,0.9697436479969535,0.9926174586248946,19,25,0.1839078259420152,0.9999916553497314
hybrid_384,384,42.62124608376,25.769973630246895,0.09192132558442687,0.5390254160865185,0.8503689455435977,0.9337093763583032,39,60,0.110992828343125,0.9999918341636658
