dataset,molecules,scaffold_groups,primary_metric,gmolai_mean,gmolai_std,morgan_mean,morgan_std,descriptor_13_mean,descriptor_13_std,favorable_gmolai_minus_descriptor,favorable_descriptor_minus_morgan,regression_descriptor_fraction_of_gmolai_vs_morgan_mean_gain,stored_descriptor_rows,recomputed_descriptor_rows
esol,1116,581,rmse,0.731433674309603,0.058632028156523235,1.5990712200288444,0.20596956095003235,0.8771228531271641,0.12365883498674489,0.14568917881756105,0.7219483669016803,0.8320852070817316,969,147
freesolv,639,376,rmse,1.2971636290302135,0.19290721865417418,2.381000649467138,0.4723515063872865,1.6018793022567785,0.15744733871203617,0.304715673226565,0.7791213472103595,0.7188547101816787,526,113
lipophilicity,4198,2410,rmse,0.8124906854233437,0.022276535915882984,0.9297426149398664,0.026663194717586908,1.0070733863009438,0.03798121561788531,0.1945827008776001,-0.07733077136107736,-0.6595266421622525,2513,1685
bbbp,1860,1062,roc_auc,0.8789488567165493,0.0432458721219142,0.8650618857817779,0.019150542942222515,0.8387620896530066,0.05048424577033502,0.04018676706354274,-0.026299796128771313,,1090,770
bace,1513,675,roc_auc,0.841333873098624,0.02503486084238228,0.8560141069044205,0.036600324036327195,0.6888778513694186,0.05626178667766223,0.15245602172920536,-0.1671362555350019,,414,1099
