dataset,post_filter_downstream_size,corpus_overlap_n,corpus_overlap_percent,train_overlap_n,train_overlap_percent,seen_5000_n,seen_5000_percent_downstream,seen_5000_percent_train_overlap,seen_7500_n,seen_7500_percent_downstream,seen_7500_percent_train_overlap,seen_10000_n,seen_10000_percent_downstream,seen_10000_percent_train_overlap,seen_12500_n,seen_12500_percent_downstream,seen_12500_percent_train_overlap,seen_15000_n,seen_15000_percent_downstream,seen_15000_percent_train_overlap
bace,1513,414,27.362855254461333,413,27.296761401189688,56,3.701255783212161,13.559322033898304,76,5.023132848645076,18.401937046004843,109,7.204230006609385,26.39225181598063,130,8.592200925313946,31.476997578692494,161,10.641110376734964,38.983050847457626
bbbp,1860,1090,58.60215053763441,1080,58.064516129032256,154,8.279569892473118,14.25925925925926,215,11.559139784946236,19.90740740740741,278,14.946236559139784,25.74074074074074,333,17.903225806451612,30.833333333333332,413,22.204301075268816,38.24074074074074
esol,1116,969,86.82795698924731,964,86.37992831541219,111,9.946236559139784,11.514522821576763,165,14.78494623655914,17.116182572614107,226,20.25089605734767,23.443983402489625,300,26.881720430107528,31.12033195020747,371,33.24372759856631,38.48547717842324
freesolv,639,526,82.31611893583725,524,82.00312989045383,59,9.23317683881064,11.259541984732824,92,14.397496087636933,17.557251908396946,120,18.779342723004696,22.900763358778626,152,23.78716744913928,29.00763358778626,186,29.107981220657276,35.49618320610687
lipophilicity,4198,2513,59.86183897093854,2493,59.385421629347306,349,8.313482610767032,13.999197753710389,504,12.005717008099095,20.216606498194945,682,16.245831348261078,27.35659847573205,837,19.93806574559314,33.57400722021661,989,23.55883754168652,39.67107902125953
hiv,37225,27377,73.5446608462055,27145,72.9214237743452,3515,9.44257891202149,12.948977712285872,5291,14.213566151779718,19.491619082704,7038,18.906648757555406,25.927426782096152,8788,23.607790463398253,32.374286240559954,10596,28.46474143720618,39.03481304107571
