strategy,budget,pair_rows,distinct_candidate_identities,seed_rows,seed_coverage,fraction_no_harder_than_seed,fraction_not_more_than_half_point_harder,fraction_absolute_delta_within_half_point,fraction_at_least_one_point_easier,fraction_at_least_one_point_harder,candidate_sa_count,candidate_sa_mean,candidate_sa_standard_deviation,candidate_sa_minimum,candidate_sa_q10,candidate_sa_q25,candidate_sa_median,candidate_sa_q75,candidate_sa_q90,candidate_sa_maximum,matched_seed_sa_count,matched_seed_sa_mean,matched_seed_sa_standard_deviation,matched_seed_sa_minimum,matched_seed_sa_q10,matched_seed_sa_q25,matched_seed_sa_median,matched_seed_sa_q75,matched_seed_sa_q90,matched_seed_sa_maximum,delta_sa_count,delta_sa_mean,delta_sa_standard_deviation,delta_sa_minimum,delta_sa_q10,delta_sa_q25,delta_sa_median,delta_sa_q75,delta_sa_q90,delta_sa_maximum,seed_macro_mean_delta_sa,seed_macro_median_of_seed_median_delta_sa,seed_macro_mean_fraction_no_harder,seed_fraction_with_any_no_harder_candidate,seed_macro_mean_delta_sa_ci_low,seed_macro_mean_delta_sa_ci_high,seed_macro_fraction_no_harder_ci_low,seed_macro_fraction_no_harder_ci_high
hybrid_b500_s500_t120,50,171086,170835,10000,1.0,0.33104403633260465,0.9020025016658288,0.8785990671358265,0.0035479232666612115,0.024987433220719404,171086,3.5266710396918506,0.9152370876781962,1.03156277326892,2.3869465305454796,2.8116111489921,3.4267734623652144,4.1465547520669634,4.79722081190897,7.836073724998678,171086,3.408280010915479,0.886768401517406,1.5357357567113326,2.329872807184719,2.700974574662423,3.2836306339561174,4.008661116877699,4.658985668233031,7.474651401255167,171086,0.11839102877637077,0.3455083020510271,-3.4852629850153125,-0.15874830230057357,-0.028069022313042646,0.056386803630998905,0.22008944844653144,0.49304238437150216,4.2338372241442475,0.13006665613159415,0.059643784590697635,0.32558771203438536,0.9274,0.12630186381136632,0.1337440815079206,0.32127625694684897,0.3300237179048237
hybrid_b500_s500_t120,100,310533,309917,10000,1.0,0.31057890787774567,0.8731954413862617,0.8479259853220109,0.003915847913104243,0.03442468272293122,310533,3.5679562135114877,0.92070468497321,1.0,2.4125044819607844,2.852347203340603,3.4742506322329003,4.193493638410221,4.838762510583634,7.910050795295055,310533,3.4176751219358303,0.8878007845524408,1.5357357567113326,2.334658595845223,2.713456469443555,3.2899329537833024,4.019981479765387,4.664821430926274,7.474651401255167,310533,0.15028109157565697,0.3802267863546622,-3.4852629850153125,-0.16486688851527448,-0.02424065934065922,0.07700059171597573,0.27251337792642083,0.5903351902834008,4.2338372241442475,0.1682978450272777,0.08426831573807414,0.30274805540704736,0.9647,0.16455381392142848,0.17214791030228366,0.29888777153328444,0.3068026141898425
hybrid_b500_s500_t120,250,669489,667595,10000,1.0,0.2826319775231557,0.8309501724449543,0.8038474119813769,0.004406345735329483,0.0487849688344394,669489,3.627616492444385,0.9286540765572586,1.0,2.454812865115346,2.9101538104101152,3.5427223029956973,4.259423025774511,4.900275309595155,7.932278686591964,669489,3.431253349436802,0.8896039215114948,1.5357357567113326,2.3450925116267047,2.7284481297159893,3.307754995788498,4.033691739106582,4.677723802646192,7.474651401255167,669489,0.19636314300758353,0.4218637681700241,-3.7804714047560335,-0.1690163871303854,-0.015600704633182971,0.11273142857142915,0.35060149630083615,0.7162929878794996,4.3720388773138845,0.22249732684786555,0.12761561247019326,0.2716558380923836,0.9884,0.2184063197902374,0.2266513381807364,0.2680863543318343,0.27504576611067627
hybrid_b500_s500_t120,500,1188810,1184791,10000,1.0,0.2614833320715674,0.7967496908673379,0.7684247272482566,0.00478125184007537,0.06154557919263801,1188810,3.6764661288415983,0.9324551888835584,1.0,2.4946770004813246,2.96097896362024,3.5970919403551096,4.310625821639979,4.950594027357857,7.990171266395389,1188810,3.4430613466765534,0.8913309220028748,1.5357357567113326,2.3528912512168247,2.7401372808025783,3.3185231314028183,4.0465162299389625,4.690362682092472,7.474651401255167,1188810,0.2334047821650431,0.4504475107471655,-4.538668006829428,-0.16882207796598134,-0.0060844079994619715,0.14514200404858268,0.4136972214369006,0.8057080011343382,4.3720388773138845,0.2656753774535641,0.16804381362668996,0.2482235944793866,0.9947,0.26135440974879887,0.2698454039274442,0.2449996517614504,0.25140667587746823
hybrid_b500_s500_t120,1000,2106446,2098257,10000,1.0,0.24201712267962244,0.7622046803003732,0.733479994265222,0.005070151335472165,0.0752162647416549,2106446,3.72708114088156,0.9345418841241168,1.0,2.538168868736303,3.016302681257666,3.653694853567422,4.3622757579182005,4.999212071389612,7.997564277533724,2106446,3.456061810367596,0.8930870330516381,1.5357357567113326,2.3596939618380226,2.753685816080358,3.3308950095215906,4.058578684273925,4.705156364031769,7.474651401255167,2106446,0.2710193305139636,0.4752571394477449,-4.538668006829428,-0.16581224108964054,0.005197461566474715,0.18053402554676667,0.47775777626417715,0.8860686682278498,4.439231185006191,0.3095876691966864,0.21029169614242704,0.22643802171355756,0.9982,0.30521897543547366,0.31380966106061436,0.22330243099133565,0.22931118515654675
