strategy,budget,population,count,mean,standard_deviation,minimum,q10,q25,median,q75,q90,maximum
beam1000_lp00,50,all_genuine_nonseed,13975,0.5555490403499768,0.14660525920778722,0.021276595070958138,0.3684210479259491,0.45062683522701263,0.5492957830429077,0.6610169410705566,0.7457627058029175,1.0
beam1000_lp00,50,one_cut_mmp_derivative,2107,0.7059824558927031,0.09429561185412708,0.4166666567325592,0.5869565010070801,0.6503968238830566,0.7017543911933899,0.7651654481887817,0.8269230723381042,1.0
beam1000_lp00,50,same_scaffold_non_mmp,1709,0.612054933802017,0.1169968364953462,0.2857142984867096,0.4655172526836395,0.5362318754196167,0.6122449040412903,0.6833333373069763,0.7587484002113343,1.0
beam1000_lp00,50,scaffold_changing,10040,0.5163983152854623,0.13539058441897206,0.021276595070958138,0.3513513505458832,0.4225352108478546,0.5079365372657776,0.6000000238418579,0.6938775777816772,0.9743589758872986
beam1000_lp00,50,acyclic_non_mmp,119,0.383628882279917,0.13571337838354072,0.13793103396892548,0.2222222238779068,0.26923078298568726,0.375,0.4545454680919647,0.5471698045730591,0.8837209343910217
beam1000_lp00,100,all_genuine_nonseed,24695,0.5371352162855517,0.14561882907277693,0.0,0.3544303774833679,0.4333333373069763,0.529411792755127,0.6405372321605682,0.7288135886192322,1.0
beam1000_lp00,100,one_cut_mmp_derivative,3373,0.6999921067298925,0.09501309692033727,0.4038461446762085,0.5789473652839661,0.6428571343421936,0.6976743936538696,0.7599999904632568,0.8181818127632141,1.0
beam1000_lp00,100,same_scaffold_non_mmp,2653,0.5998620230478473,0.11447285659565351,0.2647058963775635,0.4545454680919647,0.5254237055778503,0.6000000238418579,0.6727272868156433,0.7413793206214905,1.0
beam1000_lp00,100,scaffold_changing,18439,0.5002565028714532,0.13246503368848236,0.0,0.3382352888584137,0.40909090638160706,0.4923076927661896,0.5833333134651184,0.6734693646430969,1.0
beam1000_lp00,100,acyclic_non_mmp,230,0.3818138546917749,0.13835381725643234,0.09375,0.2222222238779068,0.26923078298568726,0.37288135290145874,0.4545454680919647,0.5492900848388672,0.8837209343910217
beam1000_lp00,250,all_genuine_nonseed,52448,0.5164037747978053,0.14523096318441228,0.0,0.3333333432674408,0.4117647111415863,0.5074626803398132,0.6170869320631027,0.7118644118309021,1.0
beam1000_lp00,250,one_cut_mmp_derivative,6442,0.6954234391450882,0.09472402794233868,0.38181817531585693,0.5714285969734192,0.6346916854381561,0.6964285969734192,0.7592592835426331,0.8148148059844971,1.0
beam1000_lp00,250,same_scaffold_non_mmp,4831,0.5848841516960731,0.11293291960375326,0.22448979318141937,0.4375,0.5090909004211426,0.5873016119003296,0.6600000262260437,0.725806474685669,1.0
beam1000_lp00,250,scaffold_changing,40626,0.4816916916624947,0.13004484828085802,0.0,0.32307693362236023,0.39080458879470825,0.4736842215061188,0.5633803009986877,0.6545454263687134,1.0
beam1000_lp00,250,acyclic_non_mmp,549,0.3818677291409783,0.14665764887908583,0.09375,0.19846154153347018,0.2647058963775635,0.38181817531585693,0.4642857015132904,0.5529177665710449,0.8837209343910217
beam1000_lp00,500,all_genuine_nonseed,92644,0.5027555120008883,0.14515021156824576,0.0,0.3235294222831726,0.3968254029750824,0.49180328845977783,0.6029411554336548,0.699999988079071,1.0
beam1000_lp00,500,one_cut_mmp_derivative,10756,0.6924207955404877,0.09496477741062774,0.3636363744735718,0.5660377144813538,0.6290322542190552,0.6938775777816772,0.7586206793785095,0.8139534592628479,1.0
beam1000_lp00,500,same_scaffold_non_mmp,7667,0.5755895055112339,0.11152567884758825,0.22448979318141937,0.4305555522441864,0.5,0.5789473652839661,0.6507936716079712,0.7142857313156128,1.0
beam1000_lp00,500,scaffold_changing,73191,0.46894525802407183,0.1285943464590587,0.0,0.3125,0.37837839126586914,0.46052631735801697,0.550000011920929,0.6393442749977112,1.0
