strategy,budget,seed_rows,raw_slot_count,raw_valid_fraction,raw_policy_acceptance_fraction,raw_duplicate_or_redundant_fraction,mean_unique_accepted_identities,median_unique_accepted_identities,mean_genuine_nonseed,mean_mmp_derivatives,mmp_fraction_among_genuine_nonseed,seed_fraction_with_1_mmp,seed_fraction_with_5_mmp,seed_fraction_with_10_mmp,mean_same_scaffold_non_mmp,same_scaffold_fraction_among_scaffold_eligible_nonseed,mean_distinct_scaffolds,median_distinct_scaffolds,mean_novel_genuine_nonseed,novel_fraction_among_genuine_nonseed,mean_novel_mmp,mean_novel_same_scaffold_non_mmp,mean_novel_scaffold_changing,mean_novel_useful_local,median_novel_useful_local,seed_fraction_with_1_novel_useful_local,seed_fraction_with_5_novel_useful_local,seed_fraction_with_10_novel_useful_local,median_seed_candidate_morgan_nonseed,q25_seed_candidate_morgan_nonseed,q75_seed_candidate_morgan_nonseed,within_pairwise_morgan_weighted_mean,within_pairwise_evaluated_pairs,within_pairwise_approximate_seed_fraction,registered_order,passes_policy_acceptance,passes_unique_yield,passes_locality,passes_useful_coverage,eligible,within_primary_equivalence,selected
beam1000_lp00,1000,512,512000,0.37409375,0.373359375,0.1406151914626491,320.859375,283.5,319.88671875,35.0,0.10941373288884,0.9453125,0.85546875,0.791015625,23.814453125,0.1233088663060565,163.41015625,138.5,319.859375,0.9999145205211806,35.0,23.814453125,257.291015625,58.814453125,49.5,0.986328125,0.935546875,0.8984375,0.4776119291782379,0.3835616409778595,0.5873016119003296,0.3878245339749693,1048576,1.0,1,False,True,True,True,False,False,False
beam1000_lp06,1000,512,512000,0.37409375,0.373359375,0.1406151914626491,320.859375,283.5,319.88671875,35.0,0.10941373288884,0.9453125,0.85546875,0.791015625,23.814453125,0.1233088663060565,163.41015625,138.5,319.859375,0.9999145205211806,35.0,23.814453125,257.291015625,58.814453125,49.5,0.986328125,0.935546875,0.8984375,0.4776119291782379,0.3835616409778595,0.5873016119003296,0.3879077255549479,1048576,1.0,2,False,True,True,True,False,False,False
sample_t100_p098,1000,512,512000,0.964138671875,0.964138671875,0.9757190983694564,23.41015625,2.0,22.48046875,0.390625,0.0173761946133796,0.22265625,0.013671875,0.0,1.013671875,0.0525068048116603,15.09375,2.0,22.48046875,1.0,0.390625,1.013671875,20.8515625,1.404296875,0.0,0.40625,0.08203125,0.029296875,0.4156573712825775,0.3370786607265472,0.517241358757019,0.4117921316049192,109136,0.076171875,3,True,True,True,False,False,False,False
sample_t120_p0995,1000,512,512000,0.959080078125,0.959080078125,0.9636411030263782,34.87109375,5.0,33.908203125,0.73828125,0.0217729393468118,0.34375,0.02734375,0.001953125,1.833984375,0.0636459184865117,22.08203125,3.0,33.908203125,1.0,0.73828125,1.833984375,30.888671875,2.572265625,1.0,0.56640625,0.142578125,0.064453125,0.4250000119209289,0.3432835936546325,0.5268816947937012,0.4156429359597021,164873,0.099609375,4,True,True,True,True,True,False,False
sample_t150_p100,1000,512,512000,0.94081640625,0.940802734375,0.9444830814775448,52.23046875,14.0,51.26171875,2.15625,0.0420635525413396,0.642578125,0.154296875,0.025390625,3.314453125,0.0835561756384916,33.591796875,8.0,51.26171875,1.0,2.15625,3.314453125,44.966796875,5.470703125,3.0,0.83203125,0.33984375,0.140625,0.4385964870452881,0.3510638177394867,0.54666668176651,0.4157303159297873,275427,0.171875,5,True,True,True,True,True,False,False
hybrid_b500_s500_t100,1000,512,512000,0.69278125,0.692505859375,0.731319962883888,186.0625,165.0,185.09375,21.009765625,0.1135087793347965,0.92578125,0.810546875,0.677734375,15.013671875,0.1324099900612356,98.912109375,83.0,185.08203125,0.999936687489448,21.009765625,15.013671875,147.04296875,36.0234375,30.0,0.9765625,0.912109375,0.82421875,0.488095223903656,0.3934426307678222,0.6000000238418579,0.4038288966407611,1045564,0.982421875,6,True,True,True,True,True,True,False
hybrid_b500_s500_t120,1000,512,512000,0.69037890625,0.690103515625,0.7260459679678943,189.056640625,165.0,188.083984375,21.01171875,0.1117145557067051,0.927734375,0.810546875,0.677734375,15.072265625,0.1306194988064316,100.814453125,84.0,188.072265625,0.9999376940570516,21.01171875,15.072265625,149.951171875,36.083984375,30.0,0.978515625,0.912109375,0.828125,0.4857142865657806,0.3913043439388275,0.5970149040222168,0.4034803658351886,1045564,0.982421875,7,True,True,True,True,True,True,True
