phase,policy,control,candidate_set_size,rows,candidate_set_nonempty_rate,candidate_set_full_rate,mean_unique_valid_candidate_count,raw_non_greedy_rdkit_valid_rate,raw_non_greedy_policy_accept_rate,unique_candidate_rate_per_raw_proposal,oracle_target_recall_at_k,oracle_condition_source_recall_at_k,latent_reranked_valid_top1_rate,latent_reranked_exact_target_identity_at_1,latent_reranked_exact_condition_source_identity_at_1,latent_reranked_target_scaffold_recovery,latent_reranked_condition_source_scaffold_recovery,latent_reranked_mean_morgan_to_target,latent_reranked_mean_morgan_to_condition_source,latent_reranked_mean_cosine_to_supplied_condition,latent_reranked_median_cosine_to_supplied_condition,latent_reranked_mean_l2_to_supplied_condition,latent_reranked_median_l2_to_supplied_condition,latent_reranked_mean_relative_l2_to_supplied_condition,latent_reranked_median_relative_l2_to_supplied_condition,rerank_target_selection_efficiency_given_oracle_presence,historical_step2_exact_identity,exact_target_identity_gain_over_historical_step2,same_panel_greedy_target_identity,same_panel_greedy_condition_source_identity,exact_target_identity_gain_over_same_panel_greedy,condition_source_identity_gain_over_same_panel_greedy,registered_order,eligible
development,beam64_lp00,correct_embedding,50,2048,0.99951171875,0.15869140625,33.95068359375,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.95751953125,0.95751953125,0.99951171875,0.95751953125,0.95751953125,0.966796875,0.966796875,0.9816396832466124,0.9816396832466124,0.999521017074585,0.9999998807907104,0.2124723643064499,0.0174205489456653,0.005539805162698,0.0005040751420892,1.0,0.639,0.31851953125,0.69091796875,0.69091796875,0.2666015625,0.2666015625,1,True
development,beam64_lp06,correct_embedding,50,2048,0.99951171875,0.15869140625,33.95068359375,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.95751953125,0.95751953125,0.99951171875,0.95751953125,0.95751953125,0.966796875,0.966796875,0.9816396832466124,0.9816396832466124,0.999521017074585,0.9999998807907104,0.2124723643064499,0.0174205489456653,0.005539805162698,0.0005040751420892,1.0,0.639,0.31851953125,0.69091796875,0.69091796875,0.2666015625,0.2666015625,2,True
development,sample128_t085_p095,correct_embedding,50,2048,1.0,0.0146484375,4.849609375,0.975250244140625,0.975250244140625,0.0333518981933593,0.88037109375,0.88037109375,1.0,0.88037109375,0.88037109375,0.92578125,0.92578125,0.9579941034317015,0.9579941034317015,0.999097466468811,0.9999998807907104,0.4627736210823059,0.0177549943327903,0.012147556990385,0.0005189005751162,1.0,0.639,0.24137109375,0.69091796875,0.69091796875,0.189453125,0.189453125,3,True
development,sample128_t100_p098,correct_embedding,50,2048,0.99951171875,0.0234375,6.4326171875,0.9726715087890624,0.9726715087890624,0.04803466796875,0.9169921875,0.9169921875,0.99951171875,0.9169921875,0.9169921875,0.947265625,0.947265625,0.9701213836669922,0.9701213836669922,0.999299943447113,0.9999998807907104,0.3409217596054077,0.0175657514482736,0.008839494548738,0.0005108982441015,1.0,0.639,0.2779921875,0.69091796875,0.69091796875,0.22607421875,0.22607421875,4,True
