phase,policy,control,candidate_set_size,rows,candidate_set_nonempty_rate,candidate_set_full_rate,mean_unique_valid_candidate_count,raw_non_greedy_rdkit_valid_rate,raw_non_greedy_policy_accept_rate,unique_candidate_rate_per_raw_proposal,oracle_target_recall_at_k,oracle_condition_source_recall_at_k,latent_reranked_valid_top1_rate,latent_reranked_exact_target_identity_at_1,latent_reranked_exact_condition_source_identity_at_1,latent_reranked_target_scaffold_recovery,latent_reranked_condition_source_scaffold_recovery,latent_reranked_mean_morgan_to_target,latent_reranked_mean_morgan_to_condition_source,latent_reranked_mean_cosine_to_supplied_condition,latent_reranked_median_cosine_to_supplied_condition,latent_reranked_mean_l2_to_supplied_condition,latent_reranked_median_l2_to_supplied_condition,latent_reranked_mean_relative_l2_to_supplied_condition,latent_reranked_median_relative_l2_to_supplied_condition,rerank_target_selection_efficiency_given_oracle_presence,historical_step2_exact_identity,exact_target_identity_gain_over_historical_step2,same_panel_greedy_target_identity,same_panel_greedy_condition_source_identity,exact_target_identity_gain_over_same_panel_greedy,condition_source_identity_gain_over_same_panel_greedy
development,beam64_lp00,correct_embedding,1,2048,0.9794921875,0.9794921875,0.9794921875,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.69091796875,0.69091796875,0.9794921875,0.69091796875,0.69091796875,0.796875,0.796875,0.8782991766929626,0.8782991766929626,0.995434045791626,0.9999998211860657,1.4640088081359863,0.018784459680318832,0.03824146091938019,0.000565885566174984,1.0,0.639,0.05191796874999999,0.69091796875,0.69091796875,0.0,0.0
development,beam64_lp00,correct_embedding,5,2048,0.99951171875,0.9794921875,4.9775390625,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.896484375,0.896484375,0.99951171875,0.896484375,0.896484375,0.931640625,0.931640625,0.9593074321746826,0.9593074321746826,0.9987216591835022,0.9999998807907104,0.5103021860122681,0.017684979364275932,0.013187702745199203,0.0005150082870386541,1.0,0.639,0.257484375,0.69091796875,0.69091796875,0.20556640625,0.20556640625
development,beam64_lp00,correct_embedding,10,2048,0.99951171875,0.9736328125,9.96337890625,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.92919921875,0.92919921875,0.99951171875,0.92919921875,0.92919921875,0.951171875,0.951171875,0.9712337255477905,0.9712337255477905,0.9991798996925354,0.9999998807907104,0.3500533103942871,0.01749582588672638,0.009104324504733086,0.0005088037578389049,1.0,0.639,0.29019921875,0.69091796875,0.69091796875,0.23828125,0.23828125
development,beam64_lp00,correct_embedding,20,2048,0.99951171875,0.85302734375,19.43408203125,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.94775390625,0.94775390625,0.99951171875,0.94775390625,0.94775390625,0.95947265625,0.95947265625,0.978367805480957,0.978367805480957,0.9994420409202576,0.9999998807907104,0.2499445378780365,0.01743389293551445,0.006555104628205299,0.0005053608329035342,1.0,0.639,0.30875390625,0.69091796875,0.69091796875,0.2568359375,0.2568359375
development,beam64_lp00,correct_embedding,50,2048,0.99951171875,0.15869140625,33.95068359375,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.95751953125,0.95751953125,0.99951171875,0.95751953125,0.95751953125,0.966796875,0.966796875,0.9816396832466125,0.9816396832466125,0.999521017074585,0.9999998807907104,0.2124723643064499,0.01742054894566536,0.0055398051626980305,0.0005040751420892775,1.0,0.639,0.31851953125,0.69091796875,0.69091796875,0.2666015625,0.2666015625
development,beam64_lp00,shuffled_embedding,1,2048,0.9794921875,0.9794921875,0.9794921875,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.0,0.69091796875,0.9794921875,0.0,0.69091796875,0.0029296875,0.796875,0.11828874796628952,0.8782991170883179,0.9954341053962708,0.9999998211860657,1.4640088081359863,0.018784459680318832,0.038241464644670486,0.000565885566174984,,0.639,-0.639,0.0,0.69091796875,0.0,0.0
development,beam64_lp00,shuffled_embedding,5,2048,0.99951171875,0.9794921875,4.9775390625,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.0,0.896484375,0.99951171875,0.0,0.896484375,0.0029296875,0.931640625,0.1204647570848465,0.9593074321746826,0.9987216591835022,0.9999998807907104,0.5103021860122681,0.017684979364275932,0.013187702745199203,0.0005150082870386541,,0.639,-0.639,0.0,0.69091796875,0.0,0.20556640625
development,beam64_lp00,shuffled_embedding,10,2048,0.99951171875,0.9736328125,9.96337890625,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.0,0.92919921875,0.99951171875,0.0,0.92919921875,0.0029296875,0.951171875,0.12051016092300415,0.9712337255477905,0.9991798996925354,0.9999998807907104,0.3500533103942871,0.01749582588672638,0.009104323573410511,0.0005088037578389049,,0.639,-0.639,0.0,0.69091796875,0.0,0.23828125
development,beam64_lp00,shuffled_embedding,20,2048,0.99951171875,0.85302734375,19.43408203125,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.0,0.94775390625,0.99951171875,0.0,0.94775390625,0.0029296875,0.95947265625,0.12056947499513626,0.978367805480957,0.9994420409202576,0.9999998807907104,0.2499445378780365,0.01743389293551445,0.006555105093866587,0.0005053608329035342,,0.639,-0.639,0.0,0.69091796875,0.0,0.2568359375
development,beam64_lp00,shuffled_embedding,50,2048,0.99951171875,0.15869140625,33.95068359375,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.0,0.95751953125,0.99951171875,0.0,0.95751953125,0.0029296875,0.966796875,0.12055261433124542,0.9816396236419678,0.999521017074585,0.9999998807907104,0.2124723643064499,0.01742054894566536,0.0055398051626980305,0.0005040751420892775,,0.639,-0.639,0.0,0.69091796875,0.0,0.2666015625
development,beam64_lp00,nearest_wrong_embedding,1,2048,0.97900390625,0.97900390625,0.97900390625,0.6033935546875,0.603271484375,0.5116424560546875,0.0,0.70703125,0.97900390625,0.0,0.70703125,0.31787109375,0.8193359375,0.3042297959327698,0.8873905539512634,0.9957082867622375,0.9999998211860657,1.2542771100997925,0.018685100600123405,0.03460113704204559,0.0005760295898653567,,0.639,-0.639,0.0,0.70703125,0.0,0.0
development,beam64_lp00,nearest_wrong_embedding,5,2048,1.0,0.97900390625,4.97900390625,0.6033935546875,0.603271484375,0.5116424560546875,0.0009765625,0.904296875,1.0,0.0,0.904296875,0.3359375,0.9345703125,0.313639372587204,0.96448814868927,0.999085545539856,0.9999998807907104,0.41790667176246643,0.01751777157187462,0.010974889621138573,0.0005308014806360006,0.0,0.639,-0.639,0.0,0.70703125,0.0,0.197265625
development,beam64_lp00,nearest_wrong_embedding,10,2048,1.0,0.97216796875,9.96484375,0.6033935546875,0.603271484375,0.5116424560546875,0.00146484375,0.9326171875,1.0,0.0,0.9326171875,0.33837890625,0.9541015625,0.3139353394508362,0.9746708273887634,0.9995113611221313,0.9999998807907104,0.27580535411834717,0.017428524792194366,0.007362713105976582,0.0005244084168225527,0.0,0.639,-0.639,0.0,0.70703125,0.0,0.2255859375
development,beam64_lp00,nearest_wrong_embedding,20,2048,1.0,0.82666015625,19.2890625,0.6033935546875,0.603271484375,0.5116424560546875,0.0029296875,0.9521484375,1.0,0.0,0.9521484375,0.341796875,0.96728515625,0.3146306574344635,0.9821915626525879,0.9996679425239563,0.9999998807907104,0.19400155544281006,0.017344238236546516,0.005223808344453573,0.0005204728804528713,0.0,0.639,-0.639,0.0,0.70703125,0.0,0.2451171875
development,beam64_lp00,nearest_wrong_embedding,50,2048,1.0,0.140625,32.91650390625,0.6033935546875,0.603271484375,0.5116424560546875,0.0029296875,0.96337890625,1.0,0.0,0.96337890625,0.34228515625,0.97265625,0.31475624442100525,0.9860383868217468,0.9997478723526001,0.9999998807907104,0.14924800395965576,0.01728745922446251,0.004093136638402939,0.0005183335160836577,0.0,0.639,-0.639,0.0,0.70703125,0.0,0.25634765625
development,beam64_lp06,correct_embedding,1,2048,0.9794921875,0.9794921875,0.9794921875,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.69091796875,0.69091796875,0.9794921875,0.69091796875,0.69091796875,0.796875,0.796875,0.8782991766929626,0.8782991766929626,0.995434045791626,0.9999998211860657,1.4640088081359863,0.018784459680318832,0.03824146091938019,0.000565885566174984,1.0,0.639,0.05191796874999999,0.69091796875,0.69091796875,0.0,0.0
development,beam64_lp06,correct_embedding,5,2048,0.99951171875,0.9794921875,4.9775390625,0.6193695068359375,0.6192703247070312,0.5287704467773438,0.896484375,0.896484375,0.99951171875,0.896484375,0.896484375,0.9306640625,0.9306640625,0.9591781497001648,0.9591781497001648,0.9987618923187256,0.9999998807907104,0.5090804696083069,0.017684979364275932,0.0131986103951931,0.000514971325173974,1.0,0.639,0.257484375,0.69091796875,0.69091796875,0.20556640625,0.20556640625
